page,eng,twi
6,identity property of multiplication,mmɔho mu nsakrae a ɛmma
6,image,mfonin
6,impossible outcomes,nea efri mu ba a ɛnnyɛ yie
6,income,akatua
6,Indirect,ɛnnyɛ pɔtee/tee
6,inductive reasoning,adwenefa a ɛwɔ nnyinaso
6,inequality,afanu a ɛnnyɛ pɛ
6,informally,bɔnɔɔ kwan so
6,input values,mma a yɛde hye mu
6,integer,intiga nɔma
6,integer coefficients,nɔma ahorow a etwa intiga mmɔho
6,integral,ehia paa
6,integral exponents,mmɔho ahyɛnsode ahorow a ehia
7,interconnect,abusuabɔ dedadeda mu
7,interest,nsiho
7,interest rates,nsiho dodoɔ
7,interior angles,angil a ɛwɔ mu
7,interpret,kyerɛ aseɛ
7,interpret graphs,kyerɛ nkonta nfonin no ase
7,invalid approach,kwan a yɛfa so a ɛnnyɛ yie
7,inverse element,emu ade a ɛma nnane
7,inverse operation,dwumadi a adi adane
7,investigate,hwehwɛ mu
7,investigate conjectures,hwehwɛ tirimbɔ ahorow mu
7,irrational numbers,nɔma a ntiase nnim
7,irregular polygon,poligɔn a n'abosua ho nna hɔ
7,irrelevant information,asɛm a enhia
7,justify,kyerɛ nea enti
7,"language of logic (and, or, not)","nyansa kasa(ne, anaa, ɛnyɛ)"
7,law of exponents for division,nɔma ankasa mmɔho mmara a ɛfa nkyekyemu ho
7,law of exponents for multiplication,mmɔho mmara a ɛfa mmɔho ho
7,law of exponents,mmɔho mmara
7,legs of a right triangle,traiangil a ekura ɔfa 90 ase
7,length,tenten
7,levels of precision,ne perepereyɛ gyinabea (sɛnea ne pɛyɛ te)
7,like (common) denominators,nɔma a wotumi de hyɛ nɔma biara ase
7,like terms,nea ɛwɔ ha wɔ ha
7,line,nsesaneɛ
7,line graph,akontaabu mu nsesaneɛ ho nfonin
7,line symmetry,nsesaneɛ a etwa sɛso
7,linear equation,nsesaneɛ a wɔde nɔma akyerɛw a pɛyɛ wom
7,linear inequalities,nsesaneɛ a wɔde nɔma akyerɛw a pɛyɛ nnim
7,linear relationship,nsesaneɛ mu twaka
7,liter,lita
7,logic,nyansa/ntease
7,logical argument,anodisɛm a nyansa wɔ mu
7,logical reasoning,nyansa ho adwenefa (nsusuwho a ntease wom)
7,lowest terms,nea ɛwɔ fam koraa
7,magnitude,ne keseɛ
7,make conjectures,yɛ tirimbɔ
7,manipulative (s),nea wɔde dannan
7,map scale,asase mfonin susude
7,mathematical argument,nkonta mu asɛm
7,mathematical ideas,nkonta ho adwene ahorow
7,mathematical language,nkonta kasa
7,mathematical phenomena,nkonta mu ahyɛnsode
7,mathematical relationships,nkonta mu abusuabɔ ahorow
7,mathematical statement,nkonta asɛm
8,mean,nea wɔhwɛ kwan
8,mean (of a proportion),nea wɔhwɛ kwan (nkyekyem mu)
8,measure capacity,susu tumi/kɛseyɛ
8,measures of central tendency,susude ahorow a wɔde hwɛ nsɛm bi mu
8,median,nɔma ahodoɔ mu nea ɛwɔ mfinfini
8,methods of proof,akwan ahodoɔ a yɛnam de ma adansedie
8,metric system,mɛtrik nhyehyɛeɛ
8,metric units of capacity,mɛtrik kɛseyɛ ho susude ahorow
8,metric units of mass,mɛtrik ade mu duru ho susude ahorow
8,milliliter,mililita
8,misleading,ɛyɛ nnaadaa
8,mixed numbers,nɔma a adi afra
8,mode,nɔma a epue kɛse
8,model (noun),adenhwɛsoɔ (nhwɛsode)
8,model problems,ɔhaw nhwɛsoɔ (nhwɛsode haw ahorow)
8,model situations,nhwɛsode tebea ahorow
8,model using manipulatives,nhwɛsode a wɔde adannande di dwuma
8,model (s),nhwɛsodeɛ
8,models,nhwɛsodeɛ
8,monitor,fa w'ani di akyire
8,monomial,nkyerɛwde biako
8,multiple,mmɔho
8,multiple representations,nsɛnkyerɛnne ahorow
8,multiplicative inverse (reciprocal),mmɔho a etumi di nsesa
8,multiply (multiplication),yɛ no mmɔho
8,natural numbers,nɔma ankasa
8,negative,abirabɔ
8,nonadjacent side of a triangle,traiangil fa a ɛnsan so
8,nonlinear equation,pɛyɛ asɛm a ne mfonin nkɔ tee
8,nonlinear relationship,twaka a ne mfonin nnkɔ tee
8,non-perfect squares,nɔma a ne mmɔho nnsi so
8,non-repeating decimal,akyiripɔ nɔma a ɛntoa so
8,nonstandard representations,asiananmu a enni susudua
8,non-terminating decimal,akyiripɔ a eso ntwa
8,not preserved,yɛn koraa so
8,number line,nsesaneɛ a nɔma hyehyɛ so
8,number system,nɔma nhyehyɛeɛ
8,numeric (arithmetic) expression,akontaabu asɛm
8,numerical problem,akontaabu mu haw
8,numerically,nɔma kwan so
8,observe patterns,hwɛ nhwɛsode ahorow
8,operation,oprehyɛn/dwumadi
8,operations with polynomials,pɔlinomial dwumadi ahorow
8,order (verb),hyehyɛ
8,order of operations,sɛnea wɔahyehyɛ dwumadi ahorow
9,ordered pair,adeɛ mmienu a y'ahyehyɛ
9,organize work,hyehyɛ adwuma
9,organized chart,mfonin a wɔahyehyɛ
9,organized list,ade nnidisonnidi so a wɔahyehyɛ
9,parallel lines,nsesaneɛ mmienu a enni nhyiamu da
9,Percent,ɔha nkyemu
9,percent decrease,ɔha nkyemu a ɛso ate
9,percent increase,ɔha nkyemu a akɔ soro
9,percent of quantity,dodow ɔha nkyemu
9,perfect square,nɔma krɔ no ara mmɔho a esisis o
9,perimeter,kyinhyia tenten
9,perpendicular bisector,abaa a ɛkyɛ adeɛ mu mmienu pɛpɛɛpɛ ne tenten mu
9,personal references for capacity,ankorankorɛ nsɛm a wɔde kyerɛ kɛseyɛ
9,personal references for units of physical phenomena,ankorankorɛ nsɛm a wɔde kyerɛ susude ahorow ma dwumadi a wohu
9,Pi(TT),Pi(TT)
9,pint,Pint
9,plot,Yɛ/twa
9,point,Osipɔw
9,polygon,Pɔligɔn
9,polynomial,pɔlinomial
9,population,dodɔɔ
9,positive,Nea ɛkɔ anim
9,possible outcomes,nea ebetumi afri mu aba
9,power,tumi
9,predict,fa w'adwene ka (bɔ wo tirim ka)
9,pre-image,nfonin nnianim
9,preserved,y'akora
9,prime factorization,Nɔma a n'ankasa ne biako nkutoo kyem a woyi fi mu
9,probability,ebetumi asi
9,procedures,akwan
9,process of elimination,kwan a yɛnam so yi bi fri mu
9,profit,Mfasoɔ
9,properties of real numbers,Nɔma ankasa su ahorow
9,proportion,kyɛfa
9,proportional reasoning,kyɛfa ho nsusuwii
9,proportionality,nkyekyemu
9,protractor,angil susude
9,Pythagorean theorem,Pythagoras akontaabu
9,quadrant,nkyekyem anan mu baako
9,quadratic equation,kwadratik pɛyɛ asɛm
9,quadratics,kwadratik ahorow
9,quadrilateral,afanan
9,quart,kwɔt
9,radius,kanko mu tenten fa
10,range,nsonsoneɛ a ɛda nɔma kɛse paa ne ketewa ntam
10,rate,adeɛ a yɛde kari
10,rate,adeɛ a yɛde kari
10,rate of change,deɛ yɛde kari deyɛ nsesa (sɛnea ɛsesa)
10,rate of interest,deɛ yɛde kari yɛ nsiho (nsiho dodow)
10,ratio,nkyekyemu
10,rational numbers,nɔma a nteaseɛ wɔ mu
10,rationale,adwene a ɛtae akyire
10,real numbers,nɔma ankasa
10,reasonableness of a solution,anoyie mu nyansa/ntease
10,recognize connections,hyɛ abusuabɔ ahorow nsow
10,record data,yɛ nsɛm ho kyerɛwtohɔ
10,rectangle,rɛktangil
10,rectangular prism,rɛktangil prisim
10,reflect,yi ne sɛso
10,reflection,ne sɛso
10,refute,bɔ gu
10,regular polygon,pɔligɔn a ɛho da hɔ
10,relation,twaka
10,relation,abusuabɔ
10,relative error,mfomsɔɔ a yɛde atoto ho
10,relevant information,nsɛm a efa ho
10,repeating decimal,akyiripɔ a ɛtoatoa so
10,results,nsunsuansoɔ
10,rhombus,rɔmbɔs
10,right angle,angil a ɛyɛ 90
10,rotate,di ntwaho
10,rotation,ntwaho
10,rotation,kyinhyia
10,rotational symmetry,ntwaho a etwa sɛso
10,round (verb),twa kanko
10,rule,mmara
10,rule,ahyɛde
10,Sale price,bɔɔ a yɛde tɔn ade
10,Sales,adetɔn
10,sampling,dodow mu kakra a woyi
10,scientific notation,nkyerɛwde a wɔagye atom
10,sector,kanko fa bi
10,segment bisector,nsesaneɛ a ɛfa baabi
10,similar triangles,traiangil ahorow a ɛsesɛ
10,simple interest,nsiho a ɛmmobɔ ho
10,simplify,ma mu ɛnyɛ mmerɛ (ma emmra fam koraa)
10,simplify expressions,nsɛm a y'ama aba fam
10,slope,nea esian
10,slope-intercept form,kwan a etwa nea esian mu
10,social contexts,egyina asetena mu nsɛm so
10,social phenomena,asetena mu nsɛm
10,solution,anoyie
11,solution set,nea efi mu ba kuw
11,solution set of an equation,pɛyɛ asɛm anoyie kuw
11,solution set of an inequality,nea pɛyɛ nnim anoyie kuw
11,solutions,anoyie ahodoɔ
11,solve,di haw ho dwuma
11,solve a simpler problem,di ɔhaw ketewa ho dwuma
11,spatial reasoning,wim adesusuw
11,special case (s),asɛm soronko
11,square,nea ɛwɔ afa nan
11,square root,nɔma bi ase a wɔabu abɔ ho
11,standard form of a number,nɔma a wɔakyerɛw no kwan a y'agye atom
11,standard representations,sɛnkyerɛnne ahorow a wɔagye atom
11,statistics,akontaabu mu amaneeɛ
11,straight edge,ntweaso a etene
11,strategies,kwan a wɔfa so
11,strategy selection,kwan a wɔfa so a wɔpaw
11,subset,ofa bi
11,substitute,nsiananmu
11,supplementary angles,angil ahorow a ɛka bom yɛ 180
11,supportive argument,anodisɛm a yɛde boa
11,surface area of prims,prisim no ho nyinaa kɛse
11,surface area of cylinders,silinda no ho nyinaa kɛse
11,symbols in verbal form,agyiraehyɛdeɛ a yɛde ano ka
11,symbols in written form,agyiraehyɛdeɛ a y'atwerɛ
11,symmetry,emukyɛ mmienu pɛpɛɛpɛ
11,system of equations,pɛyɛ nsɛm ahorow
11,system of inequalities,nsɛm ahorow a pɛyɛ nnim
11,table of values,mma a ɛhyehyɛ pono mu
11,tax,ɛtoɔ
11,technical writing,nimdeɛ pɔtee bi ho ntwerɛɛ
11,term,asɛmfua/asɛm
11,terminating decimal,akyiripɔ a ɛntoa so
11,transformation,nsesae
11,transformational geometry,geometri mu nsesaeɛ
11,translate,kyerɛ kasa aseɛ
11,translation,kasa nkyerɛaseɛ
11,transversal,ɛtwam
11,Trapezoid,trapisɔid
11,trial and error,nea wɔyɛ hwɛ
11,triangle,traiangil
11,trinomial,trinomial
11,unlike denominators,nɔma a yɛde hyɛ ɔfoforɔ ase a ɛnsɛ
11,valid approach,kwan a wonam so a ebɛyɛ yie
11,validity of sample methods,sɛnea dodow mu kakra a woyi di mu fa
11,variable,aba a etumi sesa
12,Venn diagram,Venn nfonin wɔ nkonta mu
12,verbal expression,anokasa nsɛm
12,verbal form,anokasa kwan so
12,verbal sentence,anokasa ɔkasamu
12,verbal sentence,anokasa kasasin
12,verbal symbols,anokasa mu agyiraehyɛdeɛ
12,verbally,anokasa mu
12,verify claims of others,hwehwɛ nsɛm a nkrɔfoɔ aka mu nokorɛ
12,verify results,hwehwɛ sɛ nsunsuansoɔ no yɛ nokorɛ
12,vertex,mpɔnmpɔnsɔɔ
12,vertical,ne tenten nyinasoɔ
12,vertical angles,angil abien a edi nhwɛanim
12,vertical line test,nsesaneɛ a egyina hɔ nsɔhwɛ
12,vertical lines,nsesaneɛ a egyina hɔ
12,visualization,adwene a wɔde bu biribi
12,volume,emu kɛseɛ
12,volume of a cylinder,selinda mu kɛseɛ
12,volume of a prism,prisim mu kɛseɛ
12,whole number,nɔma mua
12,width,tɛtrɛte
12,work backwards,di dwuma kɔ akyi
12,write an equation,twerɛ pɛyɛ asɛm
12,Y-intercept,Y-ntwamu
12,zero property of multiplication,"wode nɔma biara bɔ hwee ho a, ɛyɛ hwee"
