page,twi,eng
32,o-bápomma,"a person of high birth, of wealth, entrusted with an office, from the man next to the king down to the chief of a village; cf. mmopomma."
32,o-baprowe,"a spoiled child; s. porow, porowe, porokyewa; oyeń ne mma mmaprowé, he miseducates, spoils his children."
32,bära,"s. bra, bëra"
32,bare,"to cover, lay over, overspread; s. baw; to sling, wrap, wind, twine, twist round; to embrace closely, clasp round. - red. bebare, bobare, bobabobare. - de bare ani, prop. to twist (the arms, in wrestling) face to face, i. e. to engage in battle, to fight hand to hand."
32,o-barehyia,"a cartouch, cartridge-belt all round the loins; cf. ntoa; ne ntoa ye ob. (when it contains 12 cartridge-boxes); - di b., to surround."
32,o-bàrímá,"man, male person, = obaniń [obaniń-ba?] cf. nini; Gr.§41, 1.2.—valiant man, hero, cf. oberań."
32,abarimá,"a man entrusted with an office by one superior to him, cf. adamfo; adherent, client, subaltern; follower, helpmate, companion, servant."
32,abarimâ,"boy, lad."
32,abarimáwá,"boy, lad."
32,abarimakwáń,"a way for heroes, dangerous way, adventurous"
32,abarimaseṃ,= abaninseṃ. undertaking;
32,o-barimaye,manhood.
32,o-basá,"the arm; the forefoot of quadrupeds; cf. abaw, nsa; - dua basa, branch of a tree; cf. bā, dubā."
32,abasā,a withered or lame hand or arm; a person having such.
32,bàsā,"confused, disordered, disorderly, cf. sàkā..."
32,bàsàbàsa,"confused, disordered, disorderly, cf. sàkā..."
32,bàsā,three persons.
32,bāsāwa bi,some few (two or three) persons.
32,bāsāèwí,a large sea-fish [G. gbā]; apatā bi a ote se sire.
33,basafá,"a cubit, ell; cf. abasamfá."
33,basafáwa,"=bafaŋ, obubuafo? obusufo? pr. 52."
33,básakòkom,the inner part of the arm at the joint of the elbow; s. kokom; cf. mmotoam.
33,basakuram,the upper arm; s. nsatu.
33,abasa-kyēa,"inf. pr.733., s. kyēa, abasatoto."
33,abasám,"the space to which a man can extend his arms, a fathom, the length of six feet; the strength of the arms. — tu..ab., to dishearten, discourage; n'abasam atu, he is disheartened; cf. ne nsam' agow or ahodwōw, wapa abaw."
33,abasamfá,"a measure of three feet, a yard; cf. siŋ."
33,abasam-tu,inf. discouragement; cf. abawpa.
33,basatiri,=mmati.
33,batiri,=mmati.
33,abasa-toto,"inf. the swinging of the arms, pr.733."
33,abasém,"pl. m-, a story that happened; history; cf. abakosem."
33,bāséwú,"a clear-sighted, skilful, respected or ambitious man in a society; aristocrat(?); oyē hyew, oyē aguasemde."
33,o-basía,"F.=obābasía; cf. akatasía, akatamasiaba."
33,basiaba,adv. even.
33,bāsíá,"six persons. Gr. § 80, 1."
33,bá-sígyaw,"m-, the state of having no children. — di b., to be without children; s. mmas... & 1 Sam. 15, 33."
33,o-bāsimma,"a young woman, s. obeasimma."
33,básin,"F. a-, stump of an arm; one-armed person."
33,abasiriwú,"pl. m-, an infant; a child of 6 to 12 or 14 years."
33,abasó,"di ab., to stand security; cf. a[ka]gyinam, akabaso; — menné ka, menné ab., I owe no debts, neither for myself, nor from standing security."
33,bāsoŋ,"seven persons. Gr. § 80, 1."
33,bata,"v. (.. hō), to be close to, adjoin, lean against; pr.991. to adhere, cling to; to be connected with, pr. 691.—red. batabata; ebata[bata] hō kwa, it is a mere appendage."
33,bàtá,"trade, traffic, commerce.—tu b., di b., to trade; odi ntama b., he deals in cloth; gye b., to offer trade, to win a customer. — Wofa da-bone ko gua a, bata butu wo; s. butuw."
33,o-bàtá,a beast of prey like the lynx; it has a longer tail with more hair on it than atóatoa.
33,batâdewá,F. boat; Ak. obonto; cf. korow.
33,batádí,inf. trading; s. (di) bàtá.
33,batafó,"pl. id.) wild boar, syn. kokoté. — batafó-sè, a boar's tusk. pr. 42. 43. — batafo-súsóno, a medicinal plant."
33,batágyé,"inf., s. (gye) bàtá."
33,batakari,"pl. m-, war-dress, like a shirt without collar and sleeves; the dress of the Mohammedans."
34,o-bátám,"a simple, silly, dull, half-witted fellow."
34,o-bá-táŋ,"a woman that has children, mother."
34,obeataŋ,"a woman that has children, mother."
34,o-bataní,"trader, tradesman, merchant"
34,batatu,"inf., s. (tu) bàtá."
34,batiri,mmati.
34,basatiri,mmati.
34,batwěw,elbow
34,baw,"bare; to besmear, bedaub"
34,baw amánne,to smear a twig with lime for catching birds.
34,baw,"bā, bea, here, bew, place; oŋkó baw = bābi, he goes nowhere"
34,baw,"ba; bo..baw = bo..ba, to beckon, call."
34,abaw,"abasa, the arms; woso no abaw-abaw, they carry him on the arms."
34,Wapa abaw,"he has withdrawn or dropped his arms, i. e. he is exhausted, quite tired, despairs"
34,abaw-pa,inf. despondency.
34,o-báwa,"obeawa, girl, lass."
34,abāwa,"maid-servant, serving-girl."
34,bāwotwě,eight persons.
34,abawu,inf. death of a child.
34,bàyā,wide open; n'ano b. = tetrē
34,bayabáyà,wide open; n'ano b. = tetrē
34,abáyé,inf. [ye oba] careful treatment of children.
34,abayeŋ,"inf. [yeŋ ba] the bringing up of children; abayeŋmone, bad education"
34,o-bāyeŋ,"witch, hag"
34,bàyére,a kind of yam
34,o-ba-yeyere,"favorite child, the most beloved (son) among a plurality of children (as yeyere is among a plurality of wives)."
34,báyi,"witchcraft, sorcery; ye or dew bayi, to practise witchcraft; b. ye abusūade, witchcraft is inborn, innate, hereditary."
34,abayidé,bayi [ade].
34,o-bayifó,"witch, hag; wizard, sorcerer. The Negroes describe a wizard or witch as a man or woman who stands in some agreement with the devil. At night, when all people sleep, he (or she) rises or rather leaves his (her) body, as a snake casts the slough, and goes out flaming from his eyes, nose, mouth, ears, armpits; he may walk with his head on the ground and his feet stretched upward; he catches and eats beasts, or kills men either by drinking their blood or by catching their soul which he boils and eats, whereupon the person dies; or he bites them that they become full of sores. Some change themselves into leopards, snakes, antelopes; some use their witchcraft also for trade in selling things."
34,abayigóru,"bayi; ógòru me ab., he or she practises witchcraft upon me."
34,abayisém,bayi.
35,be,"adv. used of the effect of pinching: oti me ara be, he pinches me sharply, that I feel it keenly; cf. bee, bew, v. & adv."
35,e-be,"pl. m-, proverb, parable, riddle; bu be, to utter, tell or make a proverb."
35,a-be,"pl. m-, palm, palm-tree; the species of palm from which the palm-wine (nsa-fufu) and palm-oil (nno) is got, the most common in Western Africa: oil-palm, Elaeis Guineensis; palm-nut (cf. befua, adwe); bunch of palm-nuts (bemu); all the palm-nuts growing on a tree; pr. 64-69. cf. nu, dwow, sa, se, pow, tow, twa abe. - Diff. species of oil-palm: obedam, abefufu, abetuntum, abehene; other palms, s. adobe, kube, nkresia, kokosi."
35,be,"v. to recite, declaim, deliver in a rhetorical or set manner; be kwadwom, to deliver mournful songs; onim kwadwom be."
35,bea,"v. [red. beabea] to lie lengthwise, across, to cross; caus. to lay lengthwise; obea ho totote; ntama-dan no bb. ho, the tents lie stretched down; cf. bew, boa, da, gu, sam."
35,bea,"place (=ba, baw, bew, bere); pl. mmea-mmea, at different places; manner of state or doing (in cpds. with an inf.)."
35,o-bea,"pl. m-, woman, female,=(Ak.) oba, obabasia, F. obasia."
35,beabi,Ak. F. = babi.
35,beae,"place, situation; pl. mmeae-mmeae, at different places."
35,beae,"pl. m-, the beam or pole on which the rafters are put; b. yi ato nkorasimma yim' akyea, this pole came to lie crooked on these posts."
35,beae,a swelling in the groins; mmaninyare bi.
35,abeafo,"pl. m-, a young, lovely woman, neatly, nicely dressed."
35,o-bea-aguaman,"pl. m-n-, s. aguaman."
35,bea-kunini,"cardinal point; m- anan, the four c. points North, South, East, West, s. benkum, nifa, apuei, atoe. D.As."
35,o-beasimma,a weak sort of woman; a despicable person.
35,o-beatan,s. obatan. [s. oba-simma.
35,o-beawa,"obawa, pl. m-, girl, lass."
35,beba,"beba, red. v., s. ba."
35,beba,"beba, ... s. boba, boba."
35,beba,"beba, beba, pl. m-, F. = obo, pl. a-, stone."
35,bebare,"bebabebare, red. v., s. bare, bobare."
35,bebe,"red. v., s. bew."
35,bebebebe,"Munnyae b., pr."
35,bebee,"red. v., s. bee, beebee."
35,abebe,"pl. m-, As. butterfly; winged insect in general. pr. 70.806."
35,abebew,"pl. m-, grasshopper, locust; cf. boadabi (ntuntume), obirinkran, otutuafuru, fwidom, okra, opiti, ewe, otwe, odabo."
35,abebere,"1. = abete; 2. F. hardship, trouble, tribulation, adversity."
35,bebere,"much, many; very much, exceedingly; cf. pi, buru-buru, twem."
36,bebĕrebé,"much, many; much, too much, too many; when referred to a v. in the neg., it means (not) enough: ensō b., it is not large enough."
36,bebetá,pot-ladle to stir up the corn-dough put on the fire; dua a wode dwuma anā opampāṅ aseṅ no tratrā a wode nū mmore mu; cf. beteta.
36,bebɛw,"red. v., s. bew."
36,bebrē,"bebrebē, bebrete, s. bebĕre..."
36,bebrebē,"bebrete, s. bebĕre..."
36,bebrete,s. bebĕre...
36,bebrebé,"bustle, pr. 1158."
36,o-bebrebéfó,"an insolent, impertinent, saucy fellow, churl; n'ano dennēneṅ wo asɛm biara hō."
36,abebú,"inf. [bu be], speaking in proverbs."
36,abebúsém,"pl. m-, proverbial saying; s. ebɛ, akasa-bebui."
36,bebuṅ,"= abe-buṅ, cf. akyeṅkyeṅ."
36,o-bédám,"a kind of oil-palm whose ripe nuts have no black top, but are red throughout (abe bi a ebere wie na ehō bābi mmiri sẹ abe-pa); also the nuts thereof; cf. adam."
36,o-bɛdéw,"pl. a-, a kind of basket roughly made of palm-branches; berew a woabo (woaṅwene) de soa adesoa; wofre bi se: ahagya, akyemmedew, akuapemmedew; cf. akotwē, kyɛṅkyɛṅ, apakāṅ."
36,o-bɛdefúnu,"pl. m-, a chopped and withered palm-tree, of which the palm-wine has been extracted."
36,bédiapāṅ,"a certain bright star; osram wu a, ono na odi n'ade; cf. owuòdi, kōsoroma."
36,abédùá,palm-tree; more frequently simply abé.
36,abeduá,mortar to bruise palm-nuts in; = abewoduá.
36,abeduabá,"abad., a kind of doll, carved out of wood."
36,abedwā,"abedwewá, a young palm-tree; pr. 70."
36,abedwewá,a young palm-tree; pr. 70.
36,o-bédwǒ,a half-grown palm-tree; cf. antwĕribɛ.
36,bee,"v. to twitch off, pinch off, nip off, cf. bew; - red. beebee, bēbɛ.. hō = tetew hō ṅkakraṅkakra; wakobēbɛe nām no hō, he has pinched off little bits from the meat."
36,e-bee,"Ak. = bew, a pachydermatous animal."
36,abɛfó,= àbàéfó.
36,a-befuá,"pl. m-, a single palm-nut with the skins. (diff. bafua.)"
36,abefúfu,a species of oil-palm.
36,begoró,a palm-nut without a kernel.
36,abegui,place where palm-nuts are cast before the oil is made of them.
36,abɛhene,a species of oil-palm.
36,bekyékyèrɛ,pot in which the palm-oil is boiled.
36,e-bem,"right, state of being right, righteousness, guillessness; bu b., mā b., mā wodi b., to acquit of an accusation, pronounce"
37,bémma,"pl. m-, arrow, cf. beŋ, agyaŋ; bow, cross-bow with the arrows, cf. ta, kuntuŋ; - otow yeŋ (so) b., otow ne b. sā (wo, si) yeŋ, he shoots arrows at us, discharges his bow against us."
37,bémma-dùa,"arrow, = beŋ, agyaŋ."
37,bémma-hàmá,bow-string.
37,bemma-tow,"inf. shooting with the bow, archery."
37,bemma-tofo,"pl. m-, archer, bow-man."
37,bembu,"inf. acquittance, justification."
37,bemdi,inf. innocence.
37,bēme,"adv. added to statements of time, quantity, number: such a long time, such a large quantity or number; already; only; even, indeed; kaŋ, tete, dabidabi b., long ago; mfrihyia 20 bēme aseŋ na orekā yi? of a palaver of no less than 20 years does he talk? mede memāā no Kwasida b., I gave it him on Sunday already; eŋye 'ne b. na ofi ye ade yi, not since to-day only he does this; atiri ha b. na ogyee ana? did he indeed ask 100 heads?"
37,bemme,"adv. added to statements of time, quantity, number: such a long time, such a large quantity or number; already; only; even, indeed; kaŋ, tete, dabidabi b., long ago; mfrihyia 20 bēme aseŋ na orekā yi? of a palaver of no less than 20 years does he talk? mede memāā no Kwasida b., I gave it him on Sunday already; eŋye 'ne b. na ofi ye ade yi, not since to-day only he does this; atiri ha b. na ogyee ana? did he indeed ask 100 heads?"
37,bemmēme,"adv. added to statements of time, quantity, number: such a long time, such a large quantity or number; already; only; even, indeed; kaŋ, tete, dabidabi b., long ago; mfrihyia 20 bēme aseŋ na orekā yi? of a palaver of no less than 20 years does he talk? mede memāā no Kwasida b., I gave it him on Sunday already; eŋye 'ne b. na ofi ye ade yi, not since to-day only he does this; atiri ha b. na ogyee ana? did he indeed ask 100 heads?"
37,abememfi,"a place out of the way, at a distance; eda ab., it is far off; ogyina ab., he stands aloof; nnyina ab. sa, na twu beŋ me, do not keep away thus, come near to me!"
