page,eng,twi,gaa
2,mercy,ayamhyehyɛ,mɔbɔnalɛ
2,mercy,timɔbɔ,musuŋtšɔ
2,to have mercy,hū mmɔbɔ,na mɔbɔ
2,mere,hunu,eflo
2,mere,kwa,flo
2,mere,,sɔŋ
2,mere,,kpɔŋ
2,mere,,kpɔŋkpɔŋ
2,merge,mem,mī
2,merit,oyɛ-nyā,sɛnamɔ
2,merit,akatua,nyōmɔwō
2,merit,amammui pa,dšeŋbā kpakpa
2,merriment,anigye,mīšɛ
2,merriment,anikā,tšuidšurɔ
2,merriment,anigyede,plaši
2,mess,aduaŋ,niiyenii
2,mess,adidide,
2,mess,asafo,
2,mess,fekuw,
2,messenger,ɔbɔfo,obɔfo
2,messenger,ɔsomafo,bɔfo
2,messiah,nea wɔasra no,moni afɔlɛ mū
2,messiah,ogyefo,mūfɔlɔ
2,messiah,ɔhene,Kristo
2,messiah,Kristo,
2,metal,fagude,fiemɔnɔ
2,metal,ogubó (?),
2,mete,susuw,susu
2,mete,,ka
3,midday,aẅia,fane
3,midday,oẅigyinae,fane
3,middle,mu,ten
3,middle,ntam',tûntû
3,middle,mfinimfini,teṅtûntu
3,middle,asuoṅ,teṅtûntu
3,middle finger,nsateahene,teṅwao
3,midnight,odasum,nyōṅteṅ
3,midst,mfinimfini,teṅ
3,midwife,awogyefo,yōfolo
3,midwife,awogyefo,fomoyō
3,midwife (v),gye awo,fo yō
3,might,ahō̄deṅ,hewale
3,might,tumi,wā
3,might,tumi,nyēmo
3,mighty,ohō̄deṅfo,'gbo
3,mighty,otumfo,agbo
3,mighty,nea odi tumi a.s. owo ano wo omaṅ mu,ofe
3,mighty,nea odi tumi a.s. owo ano wo omaṅ mu,kekenam
3,mighty,nea odi tumi a.s. owo ano wo omaṅ mu,hewalo
3,migrate,tu ko,tšomlo
3,migrate,tu kwaṅ,fā
3,mild,merew,bleō
3,mild,bĕrēo,bō
3,mild,komm,kpō
3,to be mild,dẅo,dšo
3,to be mild,kōma hō dẅo,mli dšo
3,to be mild,ani dẅo,ye bleō
3,to be mild,yam ye,mli hī
3,mild person,onipa a oyę merew,mlefo
3,mild person,odẅo,mlidšolo
3,mild person,oyamyefo,mlihilo
3,military,nea efa doṅkōe nè asrāfo hō biribi,asrafo ahenii
3,military (n),akōfofo,ta
3,military (n),dom,ta
3,milk,nufusu,fufo
3,milk,nufusu,fufomlinu
3,milk (v),kyi nufu,ṅā fufo
3,mill,ayamē,wyie
3,mill,nea woyam aburow n.a.,wyiete
3,mill-stone,ẅiyammo,wyie
3,mill-stone,ẅiyammo,-tę
3,mill-stone,ẅiyammoba,wyiebi
3,millenium,mfe apem (ahenni),afii akpé (noyeli)
3,million,opepem,akpeiakpe
3,mince,tẅitẅa ṅketeṅkete(mĕhĕmĕhĕ),flo dšękędšęke
3,mind,ti,yi
3,mind,tirim,yiṅ
3,mind,adẅene,yitšoṅ
3,mind,kōma,dšeṅmo
3,mind,bo,tšui
3,mind,ẅere,tšui
3,mind (v),kae,dšeṅ
3,mind (v),ani wo so,kai
3,mind (v),dẅeṅ hō,kwę
3,mind (v),fẅe yiye,kwę
3,never mind,enyę biribi,efee noko
4,mine,me,
4,mine,me de,
4,mine,me dea,
4,mine,,mi.
4,mine,,minô
4,mine,amōa,
4,mine,amăna,
4,mine,ṅkoroṅ,
4,mine,ṅkonoṅ,
4,mine,,bu
4,mine,,būkwonkwon
4,mine,,fiemonōbu
4,mingle,fra,
4,mingle,,futu
4,mingle,,tšaka
4,minister,osomfo,
4,minister,osofo,
4,minister,anyamesem hō somfo,
4,minister,omaṅsofwę mu somfo-panyiṅ,
4,minister,,sōlo
4,minister,,tšūlo
4,minister,,osofo
4,miracle,aṅwōṅwāde,
4,miracle,ṅkonyā,
4,miracle,ahōḍwiriwde,
4,miracle,,afāi
4,miracle,,ṅkōnya
4,miracle,,nakpēno
4,mire,atękyé,
4,mire,dòntorí,
4,mire,,ṅmoto
4,mire,,ṅmiamo
4,mirror,afwęfwę,
4,mirror,,afefe
4,mirth,agoru,
4,mirth,aṅigye,
4,mirth,aseresem,
4,mirth,aseṅkwā,
4,mirth,,plašifemo
4,mirth,,ṅlo
4,mirth,,fęoyeli
4,mirth,,femo
4,miry,potō,
4,miry,,ṅmotoṅmoto
4,miscarry,nyę yiye,
4,miscarry,tere hō,
4,miscarry,poṅ,
4,miscarry,,musu dše
4,miscarry,,šrāke
4,miscarriage,obrabone,
4,miscarriage,opoṅ,
4,miscarriage,,musufitemo
4,miscarriage,,musudše
4,miscarriage,,šrākemọ
4,mischief,mmusu,
4,mischief,boue,
4,mischief,amumoyę,
4,mischief,,musu
4,mischief,,eša
4,mischief,,šidše
4,mischief,,šitše
4,mischievous,bọ musu,
4,mischievous,di aboro,
4,mischievous,,bọ musu
4,mischievous,,tše ši
4,mischievous,,dše ši
4,mischievous person,obusufo,
4,mischievous person,akoa busufo,
4,mischievous person,obofo,
4,mischievous person,omumoyęfo,
4,mischievous person,,ablofo
4,mischievous person,,musufo
4,mischievous person,,šidšelo
4,miser,opępęefo,
4,miser,okyękyęfo,
4,miser,oyamoṅwenefo,
4,miser,,kpękpęfelo
4,miser,,hiedšolo
4,miserable,yę mmobọ,
4,miserable,,fe mobọ
4,miserable,,akle
4,misery,amane,
4,misery,amanehunu,
4,misery,ade a eyę mmobọ,
4,misery,ahōhía,
4,misery,,mobọ
4,misery,,mobọnii
4,misery,,amanehūlū
4,misery,,nōnā
4,misfortune,asiane,
4,misfortune,mmusu,
4,misfortune,abew,
4,misfortune,abu,
4,misfortune,amane,
4,misfortune,,adědě
4,misfortune,,eša
4,misfortune,,musu
4,misfortune,,ošrā
4,misgiving,akyinnyegye,
4,misgiving,abotu,
4,misgiving,,ṅwanedšē
4,misgiving,,tšuifā
4,mishap,asiane,
4,mishap,amane,
4,mishap,,adědě
4,mishap,,ošrā
5,mishappen,siane,dē
5,mishappen,biribi aye no,šrā
5,mishappen,,noko fe m.k.
5,miss,abábá,ablā
5,miss,owuraba,oblayō
5,miss,,awurā fio
5,miss,siane hō,hie ho he
5,miss,tere hō,ńmę
5,miss,tra,šrā he
5,miss,watiriw,ladše (la)
5,miss,fom,
5,miss,yera (hāra),
5,the gun misses fire,otuo pa,tū kwa
5,mist,kusukūkū,afua
5,mist,omunuńkum,oblotu
5,mistake,ọfọm,tōmọ
5,mistake,mfomso,eša
5,mistake,,natōmọ
5,mistress,awurā,nontšọńā
5,mistress,abọrā (aborọwá),ablā
5,mistress,ọdefi,awurā
5,mistress,,hemo
5,mistress of a slave,akoa (afānā) awurā,nyońnye
5,mite,niwa,hieo
5,mite,adeketewa,lototo
5,mix,fra,futu
5,mix,(kā..) fra mu,futu mli
5,mix,,luta
5,mix,,tšaka
5,moan,di ńkọmmọ,dōmọ ntšọi
5,moan,sū,ye ńkọmọ
5,moan,gyam,
5,moan,wẹre how,
5,mock,serew,li
5,mock,(di hō few),li he
5,mock,goru hō,ye ahi
5,mock,yi ahi,ye he feo
5,mock,si atwẹtwẹ,gbe he guọ
5,mocker,(ọfewdifo),hefẹoyelọ
5,mocker,ohiyifo,ahiyelọ
5,mocker,ọtwẹtwẹfọ́,lilọ
5,moderation,anidaho,lẹtemọ
5,moderation,wo-ano wo-ano,hiešikāmọ
5,moderation,kwanse-kwańso,
5,Mohammedan,krāmo,klamo
5,Mohammedan,krāmoni,tabońnyo (tabunyo)
5,Mohammedan,tabońni,
5,moist,fọsọ,frọfrọ
5,moist,fọsofọsọ,
5,moist,fọfọ,
5,moisten,fọw,fā nọ
5,moisten,,wo nu
5,moisten,,fọ
5,mole,,miàń
5,moment,anitwa,hieńmeitfa
5,moment,ahuntwàm,
5,moment,kakrā bi,
5,monarch,ọhene,mańtšẹ
5,monarch,ọhenemū,noyelọ kome
5,monarch,ọhempọpọrọ,
5,monarch,opumpuni,
5,monday,dwọda,dšu
5,money,sika,šika
5,money,dwẹte,dfẹtei
5,money,kọbere,akoble
5,money,dare,dale
5,money,ntrama,trema
5,money,serewa,
6,monkey,akyeneboa,adu
6,monkey,akyeneboa,kūa
6,monkey,akyeneboa,ofo
6,monkey,akyeneboa,họ
6,monstrous,wi,kanaole
6,monstrous,kẹse kokūrọ,kōme
6,monstrous,biakọ,sase
6,month,ọsram,nyọṅ
6,month,ọbosóm,nyọṅ
6,monthly wages,asranne,nyọṅḍšenii
6,moon,ọsram,nyọṅ
6,moon,ọsĕrané,nyọṅ
6,moon,hyeṅ,nyọṅtšere
6,moon,ọbosom,nyọṅtšere
6,moon-light,ọsram haṅṅ,nyọṅḍšẽ
6,moon-light,ọsram haṅṅ,nyọṅkpẹmọ
6,moon-light,ọsram haṅṅ,nyọṅtšeredšẽ
6,moon-light,ọsram haṅṅ,nyọṅtšerekpẹmọ
6,moon-by,ọsram so,nyọṅḍšẽ
6,moon-by,ọsram so,nyọṅkpẹmọ
6,moon-by,ọsram so,nyọṅtšeredšẽ
6,moon-by,ọsram so,nyọṅtšerekpẹmọ
6,more (than),kyeṅ,fe
6,more (than),seṅ,fa fe
6,more (than),boro,teke nọ
6,more (than),tra,teke nọ
6,to be more than enough,boro so,fa tšọ
6,moreover,nanso,naso
6,moreover,saṅkyiri,nanso
6,moreover,bio,asaṅ
6,moreover,bio,hū
6,morning,anọpa,lebi
6,morning,adekyeẽ,dšetšẹreṅọ
6,morning,adekyeẽ,dšetšẹremọ
6,morning-dew,anọpa obosu,lebibọ
6,morning-dew,hūāsu,lebibọ
6,morning-light,adekyĕe,lebila
6,morning-light,hama,dšetšẹremọ
6,morning-light,hama,wuohai
6,morning-light,hama,wuohaigblamọ
6,morning-star,kōsoroma,tolō
6,morning-star,owuodi,opẹhenadi
6,morrow,okyĕna,wọ
6,morrow,ọkana,wọ
6,to-morrow morning,okyĕna anọpa(tutu),
6,to-morrow morning,ade kyĕ a,
6,morsel,trọmā,atrọmā
6,morsel,atrọmá,atrọmā
6,morsel,kakrā bi,atrọmā
6,morsel,siṅ,atrọmā
6,morsel,buprẹkọ,atrọmā
6,morsel,teprẹkọ,atrọmā
6,morsel,twaprẹkọ,atrọmā
6,mortality,owu,gbele
6,mortality,owu,gbĕ
6,mortality,owu,gboimọ
6,mortality,owu,gbọ
6,mortar,ọwaduru,baduntšọ
6,mortar,ọdaásé,badurutšọ
6,mortar,ọdaásé,wadurutšọ
6,mortar,ọdaásé,fufuitšọ
6,mortar,ọdaásé,niišimọnọ
6,mortgage,si awowa,to awọba
6,mosquito,ntọntọm,tọntọṅ
6,mosquito,ntọntọm,tọntrọṅ
6,moss,ọbo-so-ṅhwi,
7,most,pi no ara,
7,most,dodow ara gyɛ̃ñ,
7,most,dōsō (kyeŋ ne nnyinā),
7,most,,pi dientṣe
7,most,,titri
7,most,,fe fē
7,most,,fa fe fē
7,most,,fa tṣō
7,moth,ṅwewee,
7,moth,abubummabā,
7,moth,,omlēgē
7,mother,eṇā,
7,mother,oni,
7,mother,awo!,
7,mother,obātaṅ,
7,mother,obeataṅ,
7,mother,aberewā,
7,mother,,nye
7,mother,,biianye
7,mother,,yofoyo
7,mother,,awo!
7,mother-in-law,osew (ase?),
7,mother-in-law,okuŋu nā,
7,mother-in-law,oyere nā,
7,mother-in-law,,sayō
7,motion,ahōkekā,
7,motion,ṅkoso,
7,motion,,noyā
7,motion,,hetṣimo
7,mount,foro,
7,mount,trā (opoṅko..) so,
7,mount,,kwō
7,"mount, mountain",bepow,
7,"mount, mountain",,goṅ
7,mountain-cabbage,kube,
7,mountain-cabbage,,wyeitṣo
7,mountain-cabbage,,wietṣo
7,mountaineer,bepow-so-fo,
7,mountaineer,,dṣekonyo
7,mourn,sū,
7,mourn,gyam,
7,mourn,ye ayi,
7,mourn,di ṅkommo,
7,mourn,were how,
7,mourn,,fe mobo
7,mourn,,ye ṅkomo
7,mourn,,fe yara
7,mourn,,fo
7,mourn,,were ho
7,mouse,akurá,
7,mouse,abotukura,
7,mouse,,kwakwe
7,mouse,,kploku
7,mouse-hole,akura tū,
7,mouse-hole,tokuru,
7,mouse-hole,,kwakwebu
7,mouse-hole,,kplokubu
7,month,ano,
7,month,anom,
7,month,,da
7,month,,daṅ
7,month,,na
7,month,,nabu
7,move,kā,
7,move,kekā,
7,move,twiw,
7,move,him,
7,move,popo,
7,move,posow,
7,move,,he kā
7,move,,kpo
7,move,,tṣi
7,move,,tṣi he
7,move,,tṣirɛ
7,move,,ya
7,move,,ho
7,move a canoe,hare korow,
7,move a canoe,,mā aladṣa
7,move a canoe,,wiri
7,move on,twiw ko anim,
7,move on,duom,
7,move on,,tṣi hie
7,move on,,tṣi no
7,move on,,ya hie
7,move too and fro,wosow,
7,move too and fro,posow,
7,move too and fro,hiṅhim,
7,move too and fro,gyigya,
7,move too and fro,di ako-nè-aba,
7,move too and fro,,hoso
7,move too and fro,,woso
7,move too and fro,,didā
7,move too and fro,,tfa
7,movement,ahōkekā,
7,movement,,hetṣimo
7,movement,,tṣimo
7,movement,,yā
7,mow,twa,
7,mow,tu sare,
7,mow,dow,
7,mow,,fao
7,much,bèbērē,
7,much,bebrebé,
7,much,pī,
7,much,pī,
7,much,papa,
7,much,pām',
7,much,dodo,
7,much,praṅ,
7,much,,babao
7,much,,gbɛ
7,much,,kplaṅ
7,much,,kpotō
7,much,,pampampam
7,much,,pi
7,much,,saṅ
7,much,,tam
7,much,,tṣō
7,much,,tṣitṣō
7,much (to be),do,
7,much (to be),sō,
7,much (to be),dōsō,
7,much (to be),,fa
7,much (as-as),nea...,
7,much (as-as),senea,
7,much (as-as),,gbiiabo ní
7,much (as-as),,boboni
7,much (how-?),ahē?,
7,much (how-?),seṅ?,
7,much (how-?),,enyie?
7,"much (too-, very-)",bebrebé,
7,"much (too-, very-)",sê,
7,"much (too-, very-)",se biribi,
7,"much (too-, very-)",,tūtu
7,"much (too-, very-)",,tṣō
7,"much (too-, very-)",,naakpa
7,"much (too-, very-)",,gbɛ
7,"much (too-, very-)",,gbogbōgbo
7,much (less),ṅkantom,
7,much (less),,bloblo
7,much (less),,mbasroo (sro)
8,mud,ḍote,
8,mud,nnoṭee,
8,mud,efa potopoṭo,
8,mud,ḍontori,
8,mud,,ṅmiamo
8,mud,sūkpoto,
8,mud,ṅmoṭo,
8,mud-wall,faban,
8,mud-wall,,fă
8,mug,kuruwa,
8,mug,,kpalu
8,mug,,kruku
8,mulatto,muratoni,
8,mulatto,,blofomeiabi
8,mulatto,,blofonyobi
8,mulct,akasadi,
8,mulct,sikagye,
8,mule,afurumpoṅko,
8,mule,opoṅko afurum,
8,mule,,aflukpoṅe
8,multiplication,ahorow-ye,
8,multiplication,,hebo
8,multiplication,,toifemo
8,multiply,ḍo,
8,multiply,mā eḍo,
8,multiply,eḍōsō,
8,multiply,yẹ ahorow,
8,multiply,,bo
8,multiply,,bo he
8,multiply,,kū
8,multiply,,kūkū
8,multiply,,wo
8,multiply,,fo
8,multiply,,fa pi
8,multiply,,fere
8,multitude,ḍodow,
8,multitude,nnipakuw,
8,multitude,asafo wū,
8,multitude,,fale
8,multitude,,asafoyū
8,murder,awudi,
8,murder,,awui
8,murder,,awuiyeli
8,murder,,gbē
8,murder,,gbomogbē
8,murder,,kpatumo
8,murder,ḍi awu,
8,murder,kum,
8,murder,,ye awui
8,murder,,gbe
8,murder,,kpaṭu
8,murmur,kasa huhūhuhū,
8,murmur,ṅwiṅwi,
8,murmur,,bo hūhūhūwiemo
8,murmur,,wie hūhūhū
8,murmur,,gbīgbli
8,murmur,,krō
8,murmur,,hū
8,murmur,,hūhū
8,muse,aḍwenem' agyinatu,
8,muse,,dfēṅmo
8,muse,susuw,
8,muse,ḍweṅ,
8,muse,bo tirim,
8,muse,,susu
8,muse,,ḍfeṅ
8,muse,,ḷie yin
8,mushroom,mmere,
8,mushroom,,mle
8,musket,otuo,
8,musket,akwaḍámma,
8,musket,,tū
8,musket-ball,aboba,
8,musket-ball,aḍarebo,
8,musket-ball,korabo,
8,must,eṭwa se..,
8,must,ehia se..,
8,must,,ḍša akẹ..
8,must,,fi akẹ..
8,mute,mumu,
8,mute,,mumui
8,muzzle,ano,
8,muzzle,otuo ano,
8,muzzle,oprem ano,
8,muzzle,,nabu
8,muzzle,,tūna
8,my,me,
8,my,m',
8,my,,mi
8,myself,meara,
8,myself,maṅkasa,
8,myself,mehō,
8,myself,,miḍientše
8,myself,,mihe
8,mystery,ahintaseṃ,
8,mystery,,temosane
8,mystery,,duṅsane
9,nail,dadewa,bleko
9,nail,dadewa,blekobii
9,"nail (of the finger, toe)",aŵerew,waose lami
9,"nail (of the finger, toe)",boŵerew,waose lami
9,"nail, v.",de nnadewa bo mu,ka
9,"nail, v.",de nnadewa bo mu,kla
9,"naked, to be-",da adagyaw,he ka
9,"naked, to be-",ho da ho,nyie yaiyai
9,"naked, person",odagyafo,yaiyainyielo
9,"naked, person",kwaterekwa,yaiyainyielo
9,nakedness,adagyaw,yaiyai
9,name,edin,gbei
9,name,mmăraṅ,sablaṅ
9,"name, v.",fre,wo gbei
9,"name, v.",to (diṅ),wo gbei
9,nape,koṅ-akyi,
9,napkin,mpopahō,heŋkle
9,napkin,mpopahō,haŋkle
9,narrative,asem,sane
9,narrative,panyiṅ-asem,sane
9,narrative,tetesem,sane
9,narrative,anansesem,sane
9,narrative,kasee,sane
9,"narrative, pl.",nsemma-nsemma,sane
9,narrow,hihiā,fintō
9,narrow,mūamūā,kplokotō
9,narrow,tēatēā,legē
9,narrow,fŵēafŵēā,legelege
9,narrow,fŵēafŵēā,leleō
9,"narrow, to be-",emu nteréw,mli bę
9,"narrow, path",osa,
9,"narrow, path",akwamma,
9,"narrow, path",nammoṅkoro,
9,"narrow, places",ṅkokoam,fifii
9,"narrow, places",ṅkokoam,niififiian
9,nasty,taṅ,taṅ
9,nasty,tantaṅ,tantaṅ
9,nasty,pòtō,
9,nastiness,efi,mūdši
9,nastiness,mpebebé,ṅmiamo
9,nastiness,biṅ,ṅmoṭo
9,nation,omaṅ,maṅ
9,nation,omaṅ,dšeṅmaṅ
9,"nation, pl.",amaṅamaṅ,maṅ
9,"nation, pl.",amaṅamaṅ,dšeṅmaṅ
9,"native, a. n.",asase so ba,dšeinyo
9,"native, a. n.",nea woawo no kūrom ho,maṅnyo
9,"native, place",eṅā kūrom,dšehe
9,"native, place",eṅā kūrom,dšaku
9,"native, place",eṅā kūrom,fomomaṅ
9,"native, tribe",abusūa,dšaku
9,"native, tribe",maṅkuw,maṅ
9,nature,su,adebo
9,nature,baṅ,dšeṅ
9,nature,băra,dšeṅbā
9,nature,awo-su,dšeṅbō
9,nature,tebea,fomō
9,nature,abode,su
9,nature,abode,baṅ
9,naught,bone,yaka
9,naught,huhuw,eflo
9,naught,funu,
9,naughtiness,ahuhusem,lahō
9,naughtiness,ahuhusem,hieflefle
9,"naughty, to be-",di asemmone,ho la
9,"naughty, to be-",di asemmone,hie ho la
9,nausea,po so yare,nšo mōmo
10,naval,nea efa hyɛn hɔ biribi,lele he sane
10,naval,nea efa hyɛn hɔ biribi,nṣoŋosane
10,nave,katraka mu birimmirim,mlilonto
10,nave,katraka mu birimmirim,lontotɛn
10,navel,funuma,laŋmo
10,nay,dabi,dabi
10,nay,dabi,ohoho
10,nay,dabi,hɛ
10,nay,dabi,tete
10,nay,dabi,po
10,nay,ɛhɛ,dabi
10,nay,ɛhɛ,ohoho
10,nay,ɛhɛ,hɛ
10,nay,ɛhɛ,tete
10,nay,ɛhɛ,po
10,nay,ɔhɔ,dabi
10,nay,ɔhɔ,ohoho
10,nay,ɔhɔ,hɛ
10,nay,ɔhɔ,tete
10,nay,ɔhɔ,po
10,nay,mpo,dabi
10,nay,mpo,ohoho
10,nay,mpo,hɛ
10,nay,mpo,tete
10,nay,mpo,po
10,nay,po,dabi
10,nay,po,ohoho
10,nay,po,hɛ
10,nay,po,tete
10,nay,po,po
10,near,nkyɛn,masei
10,near,nkyɛn,nɔ
10,near,nea ebɛn (hɔ),masei
10,near,nea ebɛn (hɔ),nɔ
10,nearness,obɛn,bɛŋkɛmo
10,nearness,obɛnkyɛ,bɛŋkɛmo
10,nearness,mmeɛ,bɛŋkɛmo
10,nearness,mmeɛnkyɛɛ,bɛŋkɛmo
10,neat,frɛnkemm,hiahia
10,"necessary, to be",ehia,dṣa
10,"necessary, to be",ehia,hia
10,"necessary, to be",ehia,fi
10,"necessary, to be",etwa sɛ,dṣa
10,"necessary, to be",etwa sɛ,hia
10,"necessary, to be",etwa sɛ,fi
10,"necessary, it is for me",ehia me,ehiami
10,"necessary, it is for me",etwa me sɛ,ehiami
10,necessary,duaso,tṣoŋo
10,necessary,duaso,nṣona
10,necessary,duaso,kona
10,necessary,duaso,tiafi
10,necessary,duaso,fɛtṣu
10,necessary,duadaŋ,tṣoŋo
10,necessary,duadaŋ,nṣona
10,necessary,duadaŋ,kona
10,necessary,duadaŋ,tiafi
10,necessary,duadaŋ,fɛtṣu
10,neck,ɛkɔŋ,kuɛ
10,neck-band,,kuɛnɔ
10,neck-cloth,koŋmu dúkú,kuɛfiduku
10,neck-lace,abɔkɔŋmu,abíbribi
10,neck-lace,akyɛkyɛrekɔŋmu,abíbribi
10,need,ohia,hiamo
10,need,ohia,ohía
10,need,ohia,heniitṣumo
10,need,ohia,fimo
10,needle,pāne,abui
10,needle,abui,abui
10,needy,nea odi hia,ohiafo
10,needy,ohiani,ohiafo
10,to be needy,di hia,hia
10,"neese, sneeze",ŋwānsi,tṣine
10,neglect,pa,fɔ
10,neglect,pa,ṣi
10,neglect,pa,kwa
10,neglect,pa,hie kpa nɔ
10,neglect,ani pa so,fɔ
10,neglect,ani pa so,ṣi
10,neglect,ani pa so,kwa
10,neglect,ani pa so,hie kpa nɔ
10,neglect,to (toto) ase,fɔ
10,neglect,to (toto) ase,ṣi
10,neglect,to (toto) ase,kwa
10,neglect,to (toto) ase,hie kpa nɔ
10,neglect,to apomafo,fɔ
10,neglect,to apomafo,ṣi
10,neglect,to apomafo,kwa
10,neglect,to apomafo,hie kpa nɔ
10,negligence,anibiannāso,anyāgbā
10,negligence,anibiannāso,fɔ
10,negligence,anibiannāso,kwamo
10,negligence,anibiannāso,hieŋokpamo
10,negligence,aniyiyi,anyāgbā
10,negligence,aniyiyi,fɔ
10,negligence,aniyiyi,kwamo
10,negligence,aniyiyi,hieŋokpamo
10,negligence,nyiyiani,anyāgbā
10,negligence,nyiyiani,fɔ
10,negligence,nyiyiani,kwamo
10,negligence,nyiyiani,hieŋokpamo
10,negociate,di,ye
10,negociate,di,ye na
10,negociate,di,ye sane
10,negociate,di ano,ye
10,negociate,di ano,ye na
10,negociate,di ano,ye sane
10,negro,obibini,modiŋ
10,neighbour,ofipāmni,nanyo
10,neighbour,ofipāmni,nanyo gbomo
10,neighbour,ofipāmni,hegbomo
10,neighbour,oyoŋkɔ,nanyo
10,neighbour,oyoŋkɔ,nanyo gbomo
10,neighbour,oyoŋkɔ,hegbomo
10,neighbour,awɛ,nanyo
10,neighbour,awɛ,nanyo gbomo
10,neighbour,awɛ,hegbomo
10,neighbourhood,mmeɛ,bɛŋkɛmo
10,neighbourhood,mmeɛ,nɔ
10,neighbourhood,mmeɛ,masei
10,neighbourhood,mmeɛnkyɛɛ,bɛŋkɛmo
10,neighbourhood,mmeɛnkyɛɛ,nɔ
10,neighbourhood,mmeɛnkyɛɛ,masei
10,neighbourhood,hō,bɛŋkɛmo
10,neighbourhood,hō,nɔ
10,neighbourhood,hō,masei
10,neighbourhood,nkyɛn,bɛŋkɛmo
10,neighbourhood,nkyɛn,nɔ
10,neighbourhood,nkyɛn,masei
11,neither,onyé mu biara,
11,neither,onyé papa,
11,neither,nanso onye bone,
11,nephew,wofase,
11,nephew,wofasewa,
11,nephew,onua babarima,
11,nephew,oba,
11,nephew,,nyemibi
11,nephew,,tṣekwēbi
11,nerve,ntini,
11,nerve,hoṅ-ntini,
11,nerve,,henunɔ
11,nerve,fã,
11,nervous,kitikiti,
