page,twi,eng
56,Owu ṅhĩnã ye owu.,All the different forms Death takes are just the one Death.
57,"Owu na wannyã bābi aŋkọ a, na ọkọ asāmaŋ.","When Death has no particular place to go to, then it goes off to the world of spirits."
57,"Owu nè wo ase hyẹ wo adwuma-yẹ a, owu de na wokọ kaŋ.","If both your father-in-law and Death appoint a day for you to do some work, it is Death's you will go about first."
57,"Owu to wo a, wunse se, ‘Fwẹ aberewa!’","When Death overtakes you, you do not say to it, ‘Look, there is an old woman (take her)!’"
57,Owu wo okyẹkyẹfo adaka ano safẹ.,Death has the key to open the miser's chest.
57,Owu nye pia na woadi mu ahyemfiri.,Death is not a sleeping-room that can be entered and come out of again.
57,"‘Mirewu kyẹna, mirewu ne’, na yede ye ayie?","‘I am going to die to-morrow, I am going to die to-day,’ do they begin the funeral custom (because of such words)?"
57,"Wurewu a, wunse se, ‘Mirewu ō! mirewu ō!’","When you are (really) dying, you do not say, ‘Oh, I am dying! Oh, I am dying’!"
57,"Obi nim nea owu wo a, aŋkã onsi ho ara da.","If one could know where Death resided, one would never stop there."
57,"Nea wahintiw awu no, wontutu ’mirika ṅko n’ayi ase.","When a man has met his death through having stumbled (fallen), one does not run to attend the funeral of such an one."
58,Qkom nye Krakye Dente nye.,"Hunger is not good (good, in sense of, ‘to be lightly thought of’), neither is Krakye Dente."
59,"Obayifo ba wu a, eye no yaw.","When a witch's child dies, it makes her sad."
59,"Obayifo oreko e! obayifo oreko e! na wonye obayifo a, wuntwa wo ani.","A witch is passing! a witch is passing! (some one cries), but if you are not a witch you do not turn your eyes to look."
59,"Obayifo kum wadi-wamma-me, na onkum wama-me-na-esua.","The sorcerer kills (by magic) the one who eats and gives him nothing, but he does not kill him who eats and gives him (even) a little piece."
59,Efunu a ebesi nnim sudew.,The corpse which is coming to knock against (some one) cares nothing for cries of sorrow.
60,"Kontromfĩ se, ‘Qberan wu né kóko’.","The monkey says, ‘The brave man dies because of his brave heart’."
61,"Kontromfĩ se, ‘Afei ne ampa’.","The monkey says, ‘Well now I shall really speak the truth’."
61,"Kontromfĩ se, ‘Me suman ne m’aniwa’.","The monkey says, ‘My talisman (against surprise and enemies) is my little eyes’."
61,"Kontromfĩ se, ohũa ayi akyẽafo adi.",The monkey says that there is nothing like poverty for taking the conceit out of a man.
61,"Kontromfĩ se, ‘Wohye m’afonom’ a, na meyi asempa makã makyere wo’.","The monkey says, ‘If you fill up my cheeks (with food), then I shall reveal the truth and tell you’."
61,"Yenim se kontromfĩ koŋ wo ho, na yede hãmã to n’aseŋmu.","We know the monkey has a neck, but we nevertheless take a string and attach it to its waist."
62,Obi ṅhyẹ kontromfĩ mmã onni soṅ.,"No one compels a monkey to eat the tamarind (?) fruit. (The oṣoṅ, tamarind (?), is the favourite food of monkeys)."
62,"Oduahyeṅ se, ‘Nea ewo m'afonom nye me dea, nea ako me yam' na eye me dea’.","The white-tailed one (the black colobus monkey) says, ‘What is in my cheek is not mine, but what has gone into my belly that is my very own’."
62,Kontromfĩ akwakorā na oware kontromfĩ aberewa.,It is Mr. Old-man-monkey who marries Mrs. Old-woman-monkey.
62,"Kontromfĩ kyẽa senea akyẽafo kyẽa, nso ne to kō.","The monkey struts about just as a conceited person does, but its bottom is red nevertheless."
63,"Mahũ kontromfĩ a ne yerɛ awu na wasiw atimum, na wo wansaŋ de, efa wo hɔ dɛn?","I have seen a monkey whose wife has died and he has let his hair grow long in consequence, but as far as you are concerned, Bush-buck, how does it concern you?"
63,Esóno akyi nni aboa.,After the elephant there is no other animal (to compare with it in size and strength).
64,Esóno akyi aboa ne bòmmofó!,"After the elephant is a (still greater) animal, the hunter!"
64,Esóno kuntaṅ na adowa di panyiṅ.,The elephant is big and bulky but the (little) duyker has most experience and sense.
64,"Esóno nni wuram' a, ankã ekó ye obopoṅ bi.","If the elephant were not in the jungle ('bush'), then the buffalo would be one of the greatest of the beasts."
64,"Esóno tia afiri so a, eṅhũaṅ.","When the elephant treads on a trap, it does not spring (on it)."
64,Okáka bu sono sê.,Toothache breaks the elephant's tusk.
64,"Nea esóno wui n'afikyiri no, eho ahaban ṅhĩnã sãe.","Where an elephant died, all the leaves in his backyard were spoiled. (Trampled down by people coming to cut up the meat.)"
65,"Osekaṅ-tiá biako ṅṅuá ɛsóno, ṅṅua ko, ṅṅua oḍeṅkyem-mirempɔṅ, na wasaṅ agua oṅaṅkã, na wasaṅ atwa wo wura nsa, na woṅhɔṅ wo nto ade mu ana?","One little knife which cannot flay an elephant, which cannot flay a buffalo, which cannot flay a big-throated crocodile, and yet you have gone out of your way (lit. turned back) to flay a python, and gone out of your way to cut your master's hand, will you not be plucked from your handle and cast into some place (out of the way)?"
65,Esóno di asãwa.,An elephant eats the (little) asãwa berries.
65,"Esóno afɔṅ a, woṅné mpakam-mã ọha.","When an elephant is thin, that is not to say its meat will not fill a hundred baskets."
65,"Esóno afɔṅ a, woṅṅua no berew so.","(Even) when an elephant is thin, it is not skinned on a palm leaf."
65,Esóno hɔ na wọbọ apuruwá.,It is from the elephant that big lumps of meat are cut.
65,"Esóno kàkrã, na adowa na ọde ne ha.","The elephant is a huge beast, but it is the duyker that is the (real) king of 'the bush' (jungle)."
66,"Esóno nyã wo a, adowa bọ wo mẽ.","When the elephant has got you in his clutches, the (little) duyker (comes up) and slaps you."
66,Obi nnyae sóno akyi di ṅkodi aseredoa akyi.,No one gives up following an elephant to go and follow the little aseredoa bird.
66,Obi nni sóno akyi mmoro hũãsú.,No one (who) is following an elephant has to knock the dew off the grass.
66,"Wudi sóno akyi a, wontõa.",When you follow an elephant you do not get entangled (with creepers).
66,"Obiakõfo na okum sóno, na amansaṅ ṅhĩnã di.","It is one man who kills an elephant, but many people who eat its flesh."
66,"Ebia wobedi sóno na biribi ṅhĩa wo, na wudi apatã a, na dompe ahĩa wo.","Perhaps you will eat a whole elephant and nothing will stick in your throat, and then you eat a (little) fish and lo! a bone has stuck in your throat."
66,"Wode kokŭrokó na edi amim a, ankã esóno beba ofie.","If mere bulk and size could be used to further greed and violence, then the elephant would have come to the haunts of men (to seize what he wanted)."
67,"Wode sóno ṅhõma bu kotuku, na wode deṅ ahyem'?","You may make a bag out of an elephant's hide, but what are you going to find to put in it?"
67,Obi nnim nea esóno di yee kese.,No one knows what the elephant ate to make it big.
67,Obi nsusu sóno yam' mmu ahaban.,No one breaks off a leaf in order to measure the size of an elephant's belly with it.
67,Enye aduan na esono nya di kyeṅ adowa nti na oye kese seṅ no.,It is not the greater amount of food that the elephant eats than the duyker that makes it greater in size than he.
67,Womfá akărā ntow sóno.,A wax (bullet) is not used to shoot an elephant.
67,"Gyata dōsō ṽiram' a, aṅkā nnipa nnyā bābi ntrā.","If lions were very numerous in 'the bush', then man would have no place to stay."
67,"Woboro gyata a, wo tiri pā wo.","If you strike a lion, your own head will pain you (you will not do the lion any harm)."
67,"Gyahene hō nye deṅ a, onné kaṅkaṅ.","Even when a lion is not a strong lion, it is not called a civet cat."
67,"Ade hĩa osebo a, owe wura.","When a leopard is hard pressed for food, it chews grass."
69,Obi nkyerɛ osebo ba atow.,No one teaches a leopard's cub how to spring.
69,"Wode sebɔ ǹhõma sũa adw̌inni a, na wode aẅie.","When you use a leopard's skin for practising leather work on, it shows you have mastered your trade."
69,"Osu fĩwe sebɔ a, ne hɔ na eḟow, na ne ṅwǎrǎṅ-ṅwǎrǎṅ de, empopa.","When rain beats on a leopard it wets him, but it does not wash out his spots."
69,"Eko kum Krǎnni a, meṅko no ayi, na Okrǎnni kum 'ko a, minni ne nãm.","When a buffalo kills an Accra man, I do not go to his funeral, and when an Accra man kills a buffalo, I do not eat its flesh."
70,"Otũẽ dua ye tia a, nea ode pra nehõ ara nẽ.","The duyker's tail may be short, but it brushes its body with it notwithstanding."
70,Otũẽ nhõma suane nea eye hare.,The duyker's skin (hide) splits where it is thinnest.
70,"Otũẽ anko gua, ne nhõma ko.","The duyker does not go to market, but its skin does."
70,"Otũẽ ne otũẽ kõ na wohũ gyahene a, na woko afa na woguan.","When two duykers are quarrelling, and they see a lion (coming), off they run together (forgetting their quarrel)."
70,"Otũẽ ani ansen a, na efi bommofo.","When the antelope is unhappy, it is the hunter who is the cause."
71,"Otĭwẽ nyã nantu a, wokyi.","When (you see) a duyker which has a (thick) leg, that is something you avoid (make a taboo)."
71,Otĭwẽ m'pŏrow adu kŭrom!,Let the antelope rot in the hollow of the tree! (A congener of our 'dog in the manger'.)
71,"Odeŋkyem da nsu mu, nso ọnom mframa.","The crocodile lies in the water, but it also drinks (breathes) the air."
72,Odeŋkyem weree sene were-pá de.,A crocodile's skin is sweeter than any other skin.
72,"Funtumfrafu deŋkyem frafu, wowo yafunu koro nanso wonyã biribi a, wofom, nanso woŋ nhĩnara wo yafunu koro, nanso wodi no amenemutwitwi.","The 'Two-headed crocodiles' have but one belly for both, yet when either of them get anything they fight among themselves for it, for though they both have only one belly for each of their separate heads, each wants the food to pass down its own throat."
72,"Wutwa asu wie a, na wuse odeŋkyem ano pow.","When you have quite crossed the river, you say that the crocodile has a lump on its snout."
73,Okótó a oda siká hõ po twĕre abé.,"Even the crab, that lives where the gold dust is, eats palm nuts."
73,Okótó ṅwo anõmã.,A crab does not give birth to a bird.
73,Okótó bene asuo 'ti na onim asuo kasā.,Because the crab lives near the river he knows the language of the river.
73,"Okótó bo pemmo a, osaṅ n'akyi.","When a crab falls down plump on its bottom, it turns back."
73,Okótó foforó aperew mu nni nãm.,A young crab has no meat in its claws.
73,"Okótó guaṅ a, oguaṅ ko pom'.",When a crab runs away it is towards the sea it flees.
74,Okɔtɔ́ na onim sika dabere.,It is the crab that knows where the gold dust is to be found.
74,Okɔtɔ́ annyã adayé nti na oda amɔ̃a mu.,"Because the crab has no good place to sleep in, it lives in a hole."
74,"Okɔtɔ́ po di sukɔm, na menne okwaku a oda osoro.","Even the crab gets thirsty, not to speak of the monkey that sleeps up above."
74,Aboa dompɔ nni asumguarede nti na ɔnam asu hɔ̃ bɔ akɔtɔ́.,"Because the otter (?) has made no preparation for the washing of its soul, that is why it walks about digging for crabs (to offer to the soul)."
75,"Koṭókó reko koṭókó a, omfa adidide.","When the porcupine is going to visit the porcupine, he does not take any food with him."
75,"Aboa akyekyereɛ nni ntuma, nsoso awow nne no da.","The tortoise has no cloth, hair, or wool, nevertheless it does not ever feel the cold."
75,"Mmoadõmã ńhĩnã foro bo, akyekyere ń'koforo bi, wapoṅ afĩwe.","All animals (can) climb stones, but let the tortoise try to, and he tumbles down. (Said of an unlucky person.)"
75,"Akyekyere nni nufu, uso owo a, onim nea oye yeṅ ne ba.","The tortoise has not any milk, but when it gives birth, it knows how to rear its child."
75,Akyekyere ko serew serew na oguaṅ ara neṅ.,"The tortoise goes off in a laughable manner, but he can escape all the same."
75,Akyekyere na okyere ne bobere na woho no.,It is the tortoise itself that exposes its vulnerable spot (the head) and has it struck.
75,"Akyekyere pe ne yere amanne, ose, ‘Wow m’akyi mmeṣã (wow mmeṣã gu m’atiko), ná meṅkofĩwe agoru’.",
76,"Akyɛkyere se, ‘Obarima mfɛre aguan’.","The tortoise says, ‘A man need not be ashamed to run away’."
76,"Akyɛkyere se, ‘Ntɛm ye, na odɔm ye’.","The tortoise says, ‘Haste is a good thing and deliberation is also a good thing’."
76,"Nhwi nye-nã a, ankã akyɛkyere nni bi?","If hair was not difficult to grow, would not the tortoise have some?"
76,"Woko awuru kũrom’ na odi dɔte a, wudi bi.","When you go to the village of the tortoise and it eats earth, you eat some oo."
76,"Awuru rewea (na) ne ba rewea, (na) hena na obegye wɔn tãtã?","The tortoise crawls, and his child crawls, and which will take the other and teach him how to walk upright?"
76,Okétɛw a otare pɔdɔ hɔ bo ye tow-nã.,It is difficult to throw a stone at a lizard which is clinging to a pot (without breaking the pot).
77,Okétέw nὲ ketebɔ sε diŋ na wɔnsέ hɔnam.,"The lizard (okétέw) and the antelope (ketebɔ) have names which are similar, but their appearance is not the same."
77,Okétέw nim sε ayanikaw bεba nti na obutuw siei.,"Because the lizard knows its belly will become painful, it lies down on it (before the pain comes)."
77,"Okétέw wo yam aduru a, aŋkã yam ansi no adurade.","Had the lizard medicine against eczema, then its body would not be clothed with eczema."
77,Okétέw ńwε mako na fifiri mfi atǐwεrɔrɔ.,The lizard does not eat pepper and sweat break out on the frog. (A man bears the brunt of his own actions.)
77,"Ńwaw de nehɔ sie a, na wofa no tope.","If the snail takes care of itself, when it is taken, it will be taken as a big snail."
78,"Ṅwaw wu ṅkwaṅ mu a, empŏrow.","When a snail dies in the soup, it does not rot."
78,Ọwọ de ahõyerew na ọka.,It is owing to being disturbed that a snake bites.
78,"Ọwọ aduru, wọtew no ahõọhare.",The herbs to apply to a snake bite are quickly plucked.
78,Ọwọ ṅka onipa kwa.,A snake does not bite a man without a cause.
78,"Ọwọ ṅkesua ṅkõ na ebesuw wuram' a, aṅkã biribiara nseee ẹ.","If it were only snakes' eggs that were addled in 'the bush', that would not have mattered at all."
78,"Ọwọ te sẹ hãmã, na wọmfa ṅkyekyere ade.","A snake is like rope, but it is not (for that reason) taken to bind a thing with."
78,"Aboa naṅkã nim adekyẽe a, aṅkã ọda ṅwia-da?","If the python knew when it was dawn, would it sleep in the day-time?"
78,"Wọnhũ ọwọ ti a, wọmmọ no abã.","Unless you see a snake's head, you do not strike at it (any other part of the body)."
78,Ọnankanini da ase anyã ọṅwãm.,The python lies on the ground and has got a toucan.
79,Aboa ananse nam na ọso ne daṅ.,The spider walks and carries his house (web).
79,"Ananse a ọmpe aṅwene bi aṅwene, na ọṅwene tempoṅ mu.",A spider which does not really wish to spin spins its web on a much frequented road (where the people passing soon break it).
80,"Ananse se asantrofi se, ‘Se wobɛfiri aseɛ so a, firi aseɛ so, se wopɛdi ŋkorowa hene a, firi ŋkorowa hene so di’.","The spider says to the night-jar (!) ‘If you are going to look after the beans, look after the beans, but if you are going to be leader in the ŋkorowa dance, then confine your energies to that’ (lit. be leader in the ŋkorowa dance)."
80,Ananse antoŋ kasa.,The spider has not sold words.
80,"Agya Ananse adi asɛmmɔne na yepam no, na wannya babi ankoro na ɔseɛ padeɛ ani.","Father Spider did wrong and we drove him away, and as he had no place to go he hangs from the crossbeams of the roof."
81,Agya Ananse ṅwoo ne ba Ntikũmã na owo nea oso ne boto.,Before Father Spider begot his son Ntikũmã he had some one to carry his bag.
81,Efere nti na agya Ananse de otwẽ kyew hye adow.,Because of shame Father Spider takes an antelope skin hat when he goes to ask people to come and assist him at his hoeing.
81,"Mireguare suohyew na ananse reguare ne mma, na meguare suonwini e?","I bathe in hot water, and the spider keeps washing his children in it, so I shall wash in cold water and what can he do then?"
81,Obi ntó anansesem ṅkyere Ntikũmã.,No one tells stories to Ntikũmã.
82,"Ńwansana de ne nsa gu n'akyi a, ose, ‘Nea aka akyiri na ɛdɔsõ’.","When the fly stretches his legs (lit. hands) behind him, he says, ‘There still remains a lot to come’ (lit. what is behind is much). If one watches a fly closely it will sometimes be seen to stretch its feet backward over its body. This proverb is used in the sense of ‘I have done a great deal for you, but you can still hope for future signs of favour.’"
82,"Ńwansana ampa funu hɔ a, wode no sie.","When a fly does not get up off a dead body, he is buried with it."
82,"Ńwansana pobi, onni ano, na ótǐwère bebuŋ.","The bluebottle fly (?) has no mouth, but it can strip the green palm nuts."
