twi,eng
M'ani so ayɛ me bisibisi.,My vision is blurred
Biribi atɔ m'ani so.,Foreign body in the eye
Sɛ mehwɛ adeɛ a menhunu no yie.,I cannot see clearly
Mehunu adeɛ mmienu mmienu.,Double vision / Diplopia
Adeɛ wɔ akyiri a menhunu.,I cannot see far
Adeɛ bɛn me a menhunu.,I cannot see objects close to me
Kooko ayɛ m'ani.,I have an eye problem
Dehyɛɛ asi m'ani so.,I have stye / chalazion
M'ani so yɛ me wantann.,I have blurred vision
Me yam samforosamforo me,I have abdominal discomfort
Me yam hwie,I have diarrhoea
Megya me nan ntɛmntɛm,I have diarrhoea
Biribi nenam me yam,Something is moving in my abdomen
Me yam bɔn,My stool/flatus is offensive
Meyi mframa a ɛbɔn,My flatus is offensive
Meta a ɛbɔn,My flatus is offensive
Me nan afriyiri,I have a dislocated/ twisted leg.
Me nan mu abu,My leg is injured/ broken
Me nan mu tutu me,I feel pain in my leg
Me kotodwe yɛ me ya,I have knee pain
Babaso,Gonorrhoea
Babasokraman/ Babasonini,Syphilis
Babasowerɛmfoɔ,HIV/AIDS
Berɛboɔ mu kokoram,Liver cancer
Berɛboɔ mu yareɛ,Liver Disease /Hepatitis
Bonini,Barreness (on the part of a female)
Buropete,Chicken pox
Akyiyadeɛ,Backache/ Back Disorders
Bonini,Barrenness (on the part of a female)
Krawa,Barrenness (on the part of a man)
Dwonsɔkɛtɛso,Bedwetting
Mmogyatuo,Bleeding
Ahwenepɔn,Bleeding from the nose/ Epistaxis
Anifira,Blindness
Ani a ɛso yɛ wisiwisi/ Ani a ɛso yɛ tumm / Ani a ɛso yɛ wantanworann,Blurred vision
Dwonsɔmmogya,Bloody urine (Haematuria)
Konkoraa,Bloody mucoid diarrhoea/ Dysentery
Honam kankan,Body odour
Ahonhono,Body swelling/ Anasarca
Mpɔmpɔ,Boil /Abscess
Dompe mu kokoram,Bone cancer
Mpɔmpɔ a ɛtɔ adwene mu,Brain Tumor
Nofoɔ mu kokoram,Breast cancer
Me nofo yɛ me ya,I feel pain in my breast
Ɛdwoa abɛtɔ me nofo mu,There is a lump in my breast
Biribi da me nofo mu,There is a lump in my breast
"Sɛ me ba no nom me nofo a, na ɛyɛ me ya",I feel pains in my breast when my baby suckles
Me nofo ayɛ kɛse,My breast has enlarged
Manya nofoɔ mu kokoram,I have breast cancer
Nsuo firi me nofo mu ba,I have discharge from my breast
Me nofo mu yɛ me duru,My breast feels heavy
Aso,Ear
Ɛse,Teeth
Menemu,Throat
Nsa,Hand
Abatire,Shoulder
Nofoo,Breast
Koko Yadɛ,Chest Pain
Mfe,Rib
Funuma,Navel
Yafunu Yadɛ,Abdominal Pains
Ahotutuo,Body Pains
Nan,Leg
Hwenemusie,Catarrh/ Blocked Nose/ Nasal Congestion
Kokoram,Cancer
Odeepua,Candidiasis/ Vaginal discharge
Dehyɛɛ,Chalazion / Stye
Nkudaa,Chronic Ulcer/ Non-healing Ulcer
Buropete,Chicken pox
Ayamtuo brɛfoɔ,Cholera
Nwaahono,Cold sore/ Herpes labialis
Papuu,Common cold
Ayamtim,Constipation
Ɛsoro ka no,Convulsion
Ɛwa,Cough
Me koko yɛ me ya,I have chest pain
Me bo yɛ me ya,I have chest pain
M'akoma yɛ me ya,I have Chest/ heart pain
Me dwonsɔ a na me barima mu yɛ me ya,I feel pain in my penis/manhood when passing urine.
Ɛyɛ a nsuo firi wo barima mu ba?,Do you experience some discharge in your penis?
Wo ne ɔbaa daeɛ nna sɛn nie?,When was the last time you had sex?
Woaware?,Are you married?
Wowɔ mpena?,Do you have any other sexual partner apart from your wife?
Wo ne ɔbaa foforɔ ada anaa?,Have you had any extra marital affair?
Me dwonsɔ a na me barima mu yɛ me ya.,I feel pain in my penis/manhood when passing urine
Ɛyɛ a nsuo firi wo barima mu ba?,Do you experience some discharge in your penis?
Wo ne ɔbaa daeɛ nna sɛn nie?,When was the last time you had sex?
Woaware?,Are you married?
Wowɔ mpena?,Do you have any other sexual partner apart from your wife?
Wo ne ɔbaa foforɔ ada anaa?,Have you had any extra marital affair?
Ɛtwo ayɛ me,I have hydrocele.
Me hwoa mu yɛ me ya,I have pain in my scrotum.
Me hwoa ho yɛ me hene,I have an itchy scrotum.
Etwo ayɛ me.,I have hydrocele
Me hwoa mu yɛ me ya.,I have pain in my scrotum
Me hwoa ho yɛ me hene.,I have an itchy scrotum
M'ase keka me/ M'ase yɛ me hene.,My vagina itches/ irritates
Mebɔ wa.,I cough
Ɔbɔ wa.,He/She coughs
Mebɔ wa a na mpgya wɔ mu.,I have haemoptysis
Ɔbɔ nkɔnkɔn,He/She has whooping cough
Mebɔ nsamanwa,I have tuberculosis
Dammɔ,Madness
Dehyeɛ,Stye /Chalazion
Dompe mu kokoram,Bone cancer
Dwoa,Lump /Lymph Node Swelling
Dwonsɔkɛtɛso/ Dwonsɔkrobo,Bedwetting
Dwonsɔmmogya,Bloody urine (Haematuria)
Dwonsɔtwaa mu kokoram,Bladder cancer
Dwonsɔyaayaa,Pain in the genital organ when passing urine( Dysuria)
Ɛhoa,Dandruff
Asosie/Asosiyɛ,Deafness
Seporɔɛ,Dental Caries/ Tooth decay
Asikyireyadeɛ,Diabetes
Ayamtuo,Diarrhoea/ Running stomach
Asabra,Diarrhoea in a newborn
Ahrawa mu yareɛ,Diphtheria
Anisobire/ Ani a ɛso yɛ tumm,Dizziness
Mum,Dumbness
Konkoraa,Dysentery/ Bloody mucoid diarrhoea
M'ase keka me,My vagina itches/ irritates.
M'ase yɛ me hene,My vagina itches/ irritates.
Ebunu,Jaundice / Fever
Edwie,Head/Body lice
Ekuro,Sore / Ulcer
Etwerɛ,Fits/ Epilepsy
Asofitie,Ear discharge
Nyinsɛn a antɔ awodeɛ mu,Ectopic Pregnancy
Gyepim,Elephantiasis
Etwerɛ,Epilepsy/ Fits
M'aso yɛ me ya.,I have ear ache
M'aso fiti.,My ear discharges
M'aso mu keka me.,My ear is itching/ itchy
M'aso mu yɛ me kyee.,Noise in the ear / Tinnitus
Biribi akɔhyɛ m'aso mu.,Foreign body in my ear
M'aso mu yɛ me hene.,My ears itches
Me se femfem me,I have sensitive tooth.
Me se yɛ me ya,My tooth is aching/ I have tooth ache.
Me se ayɛ titiritii,My tooth has become numb.
Me se tutu me,I have severe toothache.
Me se so abu,I have a broken tooth.
Me se atu,I have lost a tooth.
Tokuro abɛda me se mu,I have a hole in my tooth.
Me se akyi nam tu mogya,My gum bleeds.
Mepɛ sɛ mesi me se,I want to replace my missing tooth.
N'ano mae nsuo,He/she drools.
Kaka ayɛ me se,I have toothache.
Mekasa a na nka wɔ m'anum/M'anum bɔn,I have bad breath/ Halitosis.
N'ano apae,He/she has a cleft/ split lip.
Tokuro wɔ n'anom soro,He/she has a cleft palate.
Me se so ayɛ fi,I have stains on my teeth.
Mebɔ wa,I cough.
Ɔbɔ wa,He/She coughs.
Mebɔ wa a na mogya wɔ mu,I have haemoptysis.
Ɔbɔ nkɔnkɔn,He/She has whooping cough.
Mebɔ nsamanwa,I have tuberculosis.
M'ani yɛ me ya.,I have an eye problem/eye pain
M'ani so keka me/yɛ me hene.,My eyes itch
M'ani reporo nsuo.,My eyes are tearing
M'ani twa nkyene .,I have discharge from my eyes
M'ani so y[ me kusuu.,I have blurred vision
M'ani so biri me/kyini me.,I feel dizzy
Funumatu,Umbilical Hernia
Ahoɔhyeɛ,Fever/ High Temperature
Etwerɛ,Fit/ Epilepsy
Aporɔporɔ,Foot rot
Anum Kankan,Foul Breath/ Halitosis
Kakagya,Fungal Nail Infection/ Paronychia
Me funuma mu yɛ me ya,I feel pain in my navel
Me funuma mu keka me,I feel pain in the navel
Me funuma mu ayɛ kuro,There is sore in my navel
Ɛyɛ a na me ho ayɛ hye,My temperature rises sometimes.
Me ho ayɛ hye,I have fever.
Me ho yɛ me hodwoo,I feel weak.
Me nante kakra bi a na mabrɛ,I have easy fatigability.
M'apɔso m'apɔso yɛ me ya,I have joint pain.
M'anom ato,I have lost appetite.
Mentumi nnidi kɛse,I cannot eat much.
Me ti yɛ me ya,I have headache.
Me hwene mu firi nsuo,I have runny nose.
Ɛyɛ a mefe/ Mefe,I vomit / throw up.
Aduane ka m'ano a na mafe,I vomit or throw up after eating.
Manya kataa,I have cold/catarrh.
Manya papuu,I have cold.
Gyepim,Elephantiasis
Gyemmirekutu,Mumps
Babaso,Gonnorrhoea
Kɔmpɔ,Goiter
Mfa,Guinea worm
Honamyaa,General body pains
Ɛwa,Cough
Me ba no home a ɛnsi so.,My child has difficulty in breathing.
Me ba no tee so.,My child is wheezing/difficulty in breathing.
Me ba no pene,My child is grunting.
Me ba no home ntɛmntɛm.,My child has fast breathing.
Me ba no bɔ birimbirim,My child has startling attacks.
Ɛsoro aka me ba no,My child has convulsion
Wei aka me ba no,My child has convulsion
Osensene,He/she becomes stiff.
Ne ho woso,The body shakes.
N'ano pu/twa ahuro,Does he/she foam?
Aane,Yes.
Daabi,No.
Nnawɔtwe biara ɛba,Once a week.
Bosome biara ɛba,Once a month.
Yei ne deɛ ɛdi kan,This is the first time.
Me posaa gyeene de sɔɔ n'ani so.,I dropped some juice from onion into his/her eyes.
Mebɔɔ no nsuo.,I poured some water on him/her.
Manya yarefufuo/ebunu,I have fever/ Jaundice.
Me bo fono me,I feel nauseous.
Metete ntasuo,I spit a lot.
Me bo hyehye me,I have heartburn.
Mentumi nna,I have insomnia.
Mafoeɛ,I am feeling feverish.
Me ba no home a ɛnsi so.,My child has difficulty in breathing
Me ba no tee so.,My child is wheezing/difficulty in breathing
Me ba no pene.,My child is grunting
Me ba no home ntɛmntɛm.,My child has fast breathing
Me ba no bɔ birimbirim.,My child has startling attacks
Ɛsoro aka me ba no.,My child has convulsion
Wei aka me ba no.,My child has convulsion
Sɛ ɛba a sɛn na ɔyɛ?,How does he/she behave when it happens?
Ɔsensene.,He/she becomes stiff
Ne ho woso.,The body shakes
N’ano pu/twa ahuro?,Does he/she foam?
Aane.,Yes
Daabi.,No
Mpɛn dodoɔ sɛn na yareɛ no ba?,How often?
Nnawɔtwe biara ɛba.,Once a week
Bosome biara ɛba.,Once a month
Yei ne deɛ ɛdi kan.,This is the first time
"Ɛbaeɛ no, ɛdeɛn na woyɛɛ?",What did you do when it happened?
Me posaa gyeene de sɔɔ n’ani so.,I dropped some juice from onion into his/her eyes
Mebɔɔ no nsuo.,I poured some water on him/her
Ɛyɛ a na me ho ayɛ hye.,My temperature rises sometimes
Me ho ayɛ hye,I have fever
Me ho yɛ me hodwoo.,I feel weak
Me nante kakra bi a na mabrɛ.,I have easy fatigability
M'apɔso m'apɔso yɛ me ya.,I have joint pain
M'anom ato.,I have lost appetite
Mentumi nnidi kɛse.,I cannot eat much
Me ti yɛ me ya.,I have headache
Me hwene mu firi nsuo.,I have runny nose
Ɛyɛ a mefe/ Mefe.,I vomit/ throw up
Aduane ka m'ano a na mafe.,I vomit or throw up after eating
Manya kataa,I have cold/catarrh
Manya papuu.,I have cold
Manya yarefufuo/ebunu,I have fever/ Jaundice
Me bo fono me.,I feel nauseous
Metete ntasuo.,I spit a lot
Me bo hyehye me.,I have heartburn
Mentumi nna.,I have insomnia
Mafoeɛ.,I am feeling feverish
Honam Kankan,Body odour
Honamyaa,General body pains
Huraɛ/Ebunu,Jaundice/ Fever
Hwene mu a ɛsɔne nsuo,Running nose
Hwenemusie,Blocked Nose/ Catarrh /Nasal Congestion
Mmogyatuo,Haemorrhage/ Bleeding
Tiri mu dwie,Hair lice
Anum Kankan,Halitosis/ Foul Breath
Tipaeɛ,Headache
Mfifirensaa,Heat rash
Berɛboɔ mu yareɛ,Hepatitis/ Liver Disease
Nwaahono,Herpes labialis/ Cold sore
Ahoɔhyeɛ,High temperature/ Fever
Akoma mu tokuro,Hole in heart
Akyakya,Hunchback
Nketenkete,Hunger in the night/ Hypoglycaemia/ Hunger pangs
Mmogyammorosoɔ,Hypertension
Me nsa yɛ me ya,My hand aches
Me nsa mu abu,My hand is injured/ broken
Mada me nsa so,I have pain in my hand.
Me ti yɛ me ya.,My head aches
Me ti fa yɛ me ya.,Half of my head aches
Me ti fa dwa me.,One sided headache
Me ti mu keka me.,My scalp itches
Me ti dwa me gagaga.,Throbbing/ Splitting headache
Ne ti mu ka no.,He/ She has mental illness
Me ti mu hyehye me.,I have burning sensation in my head.
Me ti pae me.,My head aches
M'adwene mu hyehye me.,I have burning sensation in my head
Me ti mu bɔn me.,I have bad breath / halitosis
Kɔtewuiɛ,Impotence
Nsonomuyadeɛ,Intestinal disease
Ahoɔhene,"Irritation, Itching"
Me barima awu,I am impotent.
Ɛmpagya/Me barima mpagya,I don't have any erection.
Mentumi nkɔ kwan so,I cannot perform sexually.
Mayɛ mmerɛ wɔ mpam,I am sexually weak.
Me barima awu.,I am impotent
Ɛmpagya/Me barima mpagya.,I don't have any erection
Mentumi nkɔ kwan so.,I cannot perform sexually
Mayɛ mmerɛ wɔ mpam.,I am sexually weak
Ebunu/huraeɛ/yarefufuo,Jaundice/ Fever
Kɔkɔbo /Kɔkɔboyareɛ,Rectal Prolapse
Kɔmpɔ,Goitre
Kɔtewuiɛ,Impotence
Kaka,Toothache/ Fungal Nail Infection
Kakagya,Fungal Nail Infection/ Paronychia
Kakawirewire,Tinea Capitis /Ring worm on the scalp
Saa mu yareɛ/ Sawa mu yareɛ,Kidney disease
Ananta,Knocking knees
Kokoram,Cancer
Konkoraa,Bloody mucoid diarrhoea/ Dysentery
Kooko,Piles / Haemorrhoids
Kramanyareɛ,Rabies
Krawa,Male Infertility
"Krotoa,",Asthma / COPD
Kwata,Leprosy
Me koko yɛ me ya,I have chest pain.
Me bo yɛ me ya,I have chest pain.
M'akoma yɛ me ya,I have Chest/ heart pain
M'akoma bɔ me paripari,My heart beats fast/ palpitation.
Me mu yɛ me ya,I have chest pain.
Me sisi yɛ me ya,I have waist pain/ I have pain in my waist.
Me pa yɛ me ya,I have low back pain.
M'ayaase yɛ me ya,I have pain in my lower abdomen.
Kwata,Leprosy
Ɛtɛ,Leucorrhorea/Cataract
Berɛboɔ mu kokoram,Liver cancer
Dwoa,Lump/Lymph Node Swelling
Menemu kokoram,Throat cancer
Menemukuro,Sore throat
Mente pampan,Anosmie
Mfa,Guinea worm
Mfifirensaa/ Mfifisaa,Heat rash
Mmɔborɔ abo me,Bee sting
Mmogyammorosɔ/ Mmogyaborosɔ,Hypertension
Mmubuo,"Paralysis, Polio"
Mogyasoteɛ/ Mogyaweɛ,Anaemia
Mogyatuo,Bleeding/ Haemorrhage
Mpɔmpɔ,Boil /Abscess
Mpafe,Pains in the ribs / Chest pain
Mum,Dumbness
Muyareɛ,Chest disease
Dammɔ,Madness
Atiridii,Malaria
Ntɛnkyɛm,Measles
Afikyikɔ mu yareɛ,Menstrual disorder
Anidane,Menstrual pain
Asoroben,Migraine
Nyinsɛn a asɛe,Miscarriage
Agyemmirekutu,Mumps
Me kɔn yɛ me ya,My neck is aching.
Me mene mu yɛ me ya,My throat is aching.
Me mene mu ayɛ kuro,I have a sore throat.
Me mene mu keka me,My throat is itchy.
Me mene mu yɛ me hene,My throat is itchy.
Mentumi mmene ntasuo,I have difficulty swallowing.
Kasɛɛ ahia me,I have swallowed a fish bone.
Wamene sika,He/She has swallowed a coin.
Mamene me se,I have swallowed my artificial tooth.
Me nne asi/ Me nne afam/ Me nne asesa,Hoarseness /change of voice.
Ntasuoakoram ayɛ me,I cannot swallow saliva /I have pains in the throat when swallowing.
Mpafe asi me,I feel pain in my rib.
Me mfe yɛ me ya,I feel pain in my rib.
Nkɔnkɔn,Whooping cough
Nkonto,"Rickets, Bow-legged"
Nketenkete,Hunger in the night/hunger pangs/hypoglycaemia
Nkorɔmo,Snoring
Nkudaa,Chronic Ulcer /Non-healing Ulcer
Nkwee,Hernia
Nnwodwɔ,Stroke / Paralysis
Nofɔɔ mu kokoram,Breast cancer
Nsaa,Rash
Nsaanini,Pimples/Acne
Nsamanwa,Tuberculosis
Nsonomuyareɛ,Intestinal disease
Nsonkuronsuo,Bedbugs
Ntɛnkyɛm,Measles
Ntasuoakoram,Pain in the throat when swallowing
Ntehyeewa,Asthma
Nwaahono,Cold sore/ Herpes labialis
Nyinsɛn a antɔ awodeɛ mu,Ectopic pregnancy
Nyinsɛn a asɛe,Miscarriage
Nyinsɛn so bubuo,Threatened Abortion
Nyinsɛn tuguo/ Nyinsɛn yiguo,Abortion
Abofono,Nausea
Me nan yɛ me ya,My leg is aching.
Me nan ahono,My leg is swollen.
Me nan afrikyiri,I have a dislocated/twisted leg.
Me nan mu abu,My leg is injured/ broken.
Me nan mu tutu me,I feel pain in my leg.
Me kotodwe yɛ me ya,I have knee pain.
Me funuma mu yɛ me ya,I feel pain in my navel
Me funuma mu keka me,I feel pain in the navel
Me funuma mu ayɛ kuro,There is sore in my navel
Me nofo yɛ me ya,I feel pain in my breast.
Ɛdwoa abɛtɔ me nofo mu,There is a lump in my breast.
Biribi da me nofo mu,There is a lump in my breast.
"Sɛ me ba no nom me nofo a, na ɛyɛ me ya",I feel pains in my breast when my baby suckles.
Me nofo ayɛ kɛse,My breast has enlarged.
Manya nofoɔ mu kokoram,I have breast cancer.
Nsuo firi me nofo mu ba,I have discharge from my breast.
Me nofo mu yɛ me duru,My breast feels heavy.
Me nsa yɛ me ya,My hand aches.
Me nsa mu abu,My hand is injured/ broken.
Mada me nsa so,I have pain in my hand.
Odeepua,Vaginal discharge /Candidiasis
Pampan,Odour
Papuu,Common cold
Ayamhyehyɛ,Panic/ Anxiety
Dwonsɔyaaya,Pain in the genital organ (Dysuria)
Mpafe,Pain in the ribs/ Chest pain
Ntasuoakoram,Pain in the throat when swallowing
Mmubuo,"Paralysis, Polio"
Ahaamu nsaa,Perineal rash
Kooko,Piles/ Haemorrhoids
Nsaanini,Pimples/ Acne
Ɛkorɔ,Pityriasis Vesicolor
Dwonsɔtwaa mu kokoram,Prostrate cancer
Kramanyareɛ,Rabies
Nsaa,Rash
Kɔkɔboyareɛ,Rectal Prolapse
Sasaborɔ,Rheumatism
Ɛyam,Ringworm
Kakawirewire,Ring worm on the scalp/ Tinea Capitis
Hwene mu a ɛsɔne nsuo,Running nose
Ayamtuo,Running stomach/ Diarrhoea
Mpafe asi me,I feel pain in my rib
Me mfe yɛ me ya,I feel pain in my rib
Sisiyarɛ,Waist pain
Sasaborɔ,Rheumatism
Saa mu yarɛ/ Sawa mu yarɛ,Kidney disease
Seporɔɛ,Tooth decay/ Dental Caries
Somorɔ,Tick
Ananse,Shingles
Anumkuro,Sore in the mouth
Dehyɛɛ,Stye / Chalazion
Babasokraman,Syphilis
Ekuro,Sore/ Ulcer
Ɛpɔ,Skin rash due to allergy/ Urticaria
Nkorɔmohwa,Snoring
Nnwodwoɔ,Stroke / Paralysis
Wedeɛ mu kokoram,Skin cancer
Yamkuro,Stomach ulcer
M'abatiri ahwan/ afrikyiri,My shoulder is dislocated/ twisted
M'abatiri yɛ me ya,I have shoulder pain
Me barima awu,I am impotent.
Me barima mpagya,I don't have any erection.
Me barima nnyina,My penis does not stand.
Me barima nnyina yiye,My penis does not stand well.
Me barima nnyina ntɛm,My penis does not stand quickly.
Me barima nnyina nkyɛ,My penis does not stay erect for long.
Me barima nnyina nkyɛ,I ejaculate too quickly.
Me barima nnyina nkyɛ,I have premature ejaculation.
Me barima nnyina nkyɛ,I have weak erection.
Me barima nnyina nkyɛ,I have erectile dysfunction.
Me barima nnyina nkyɛ,I have sexual weakness.
Me barima nnyina nkyɛ,I have low libido.
Me barima nnyina nkyɛ,I have no sexual desire.
Me barima nnyina nkyɛ,I have loss of sexual desire.
Me barima nnyina nkyɛ,I have decreased sexual desire.
Me barima nnyina nkyɛ,I have reduced sexual desire.
Me barima nnyina nkyɛ,I have lack of sexual desire.
Me barima nnyina nkyɛ,I have diminished sexual desire.
Me barima nnyina nkyɛ,I have inhibited sexual desire.
Me barima nnyina nkyɛ,I have hypoactive sexual desire.
Me barima awu,I am impotent.
Me barima mpagya,I don't have any erection.
Me barima nnyina,My penis does not stand.
Me barima nnyina yiye,My penis does not stand well.
Me barima nnyina ntɛm,My penis does not stand quickly.
Me barima nnyina nkyɛ,My penis does not stay erect for long.
Me barima nnyina nkyɛ,I ejaculate too quickly.
Me barima nnyina nkyɛ,I have premature ejaculation.
Me barima nnyina nkyɛ,I have weak erection.
Me barima nnyina nkyɛ,I have erectile dysfunction.
Me barima nnyina nkyɛ,I have sexual weakness.
Me barima nnyina nkyɛ,I have low libido.
Me barima nnyina nkyɛ,I have no sexual desire.
Me barima nnyina nkyɛ,I have loss of sexual desire.
Me barima nnyina nkyɛ,I have decreased sexual desire.
Me barima nnyina nkyɛ,I have reduced sexual desire.
Me barima nnyina nkyɛ,I have lack of sexual desire.
Me barima nnyina nkyɛ,I have no interest in sex.
Me barima nnyina nkyɛ,I have loss of interest in sex.
Me barima nnyina nkyɛ,I have decreased interest in sex.
Me barima nnyina nkyɛ,I have reduced interest in sex.
Me barima nnyina nkyɛ,I have lack of interest in sex.
Me barima awu,I am impotent.
Me barima mpagya,I don't have any erection.
Me barima nnyina,My penis does not stand.
Me barima nnyina yiye,My penis does not stand well.
Me barima nnyina ntɛm,My penis does not stand quickly.
Me barima nnyina nkyɛ,My penis does not stay erect for long.
Me barima nnyina nkyɛ,I ejaculate too quickly.
Me barima nnyina nkyɛ,I have premature ejaculation.
Me barima nnyina nkyɛ,I have weak erection.
Me barima nnyina nkyɛ,I have erectile dysfunction.
Me barima nnyina nkyɛ,I am unable to perform sexually.
Me barima nnyina nkyɛ,I have low libido.
Me barima nnyina nkyɛ,I have no sexual desire.
Me barima nnyina nkyɛ,I have sexual weakness.
Me barima nnyina nkyɛ,I have sexual problems.
Me barima nnyina nkyɛ,I have sexual difficulties.
Me barima nnyina nkyɛ,I have sexual dysfunction.
Me barima nnyina nkyɛ,I have sexual dissatisfaction.
Me barima nnyina nkyɛ,I have sexual pain.
Me barima nnyina nkyɛ,I have sexual infection.
Me barima nnyina nkyɛ,I have sexual disease.
Me barima nnyina nkyɛ,I have sexual illness.
Me barima nnyina nkyɛ,I have sexual disorder.
Me barima nnyina nkyɛ,I have sexual complaint.
Me barima nnyina nkyɛ,I have sexual symptom.
M'ase firi nsuo/Nsuo regu me,I have vaginal discharge.
Nka wɔ m'ase/M'ase bɔn,Offensive vaginal discharge.
M'ase ayɛ kuro,I have vaginal ulceration.
M'ase tutu me,I have vaginal pain.
Manya odeepua,I have candidiasis/vaginal discharge.
Mogya retu me,I am bleeding.
Mekɔ afikyire,I am in my menses.
Mabu me nsa,I am in my menses.
Mayɛ bra,I am in my menses.
Ɛbɛyɛ bosome mmienu nie menkɔɔ afikyire,I have not had my menses for two months now.
Matwa bra,I am at menopause.
M'ayaase yɛ me ya,I feel pain in my lower abdomen.
Biribi abɛhyɛ/abɛfua m'ayaase,I feel a mass in my lower abdomen.
Biribi abɛhyɛ m'anan mu,I feel a mass in my vagina.
Me dwonsɔ mogya,I have blood in my urine.
Ɛhyɛɛ aseɛ Edwoada no,It started on Monday.
Nnanu ne nnɛ na ɛhyɛɛ aseɛ,It started two days ago.
Nnansa ne nnɛ,It started three days ago.
Nnɛnan ne nnɛ,It started four days ago.
Nnanum ne nnɛ,It started five days ago.
Nnansia ne nnɛ,It started six days ago.
Nnawɔtwe nie,It started a week ago.
Ɛnnaano na ɛhyɛɛ aseɛ,It started some days ago.
Nnawɔtwe mmienu nie,It started two weeks ago.
Dapɛn nie na ɛhyɛɛ aseɛ,It started a week ago.
Ɛnora,It started yesterday.
